model,Application Usage,Database,Infrastructure,Networking,Security
autoarima,0.865,0.839,0.708,0.937,0.9
autoets,0.87,0.859,0.727,0.98,0.868
autotheta,1.151,1.188,0.976,1.213,1.039
chronos_2,0.657,0.656,0.604,0.657,0.671
chronos_bolt_base,0.748,0.757,0.663,0.757,0.729
chronos_bolt_small,0.748,0.761,0.678,0.779,0.734
moirai_1.1_base,0.721,0.738,0.65,0.786,0.739
moirai_1.1_large,0.73,0.743,0.67,0.773,0.736
moirai_1.1_small,0.74,0.741,0.675,0.807,0.748
moirai_2_small,0.714,0.616,0.657,0.77,0.735
seasonalnaive,1.0,1.0,1.0,1.0,1.0
time_moe_200M,0.884,0.903,0.847,0.933,0.776
time_moe_50M,0.863,0.714,0.791,0.856,0.77
timer,0.871,0.716,0.728,0.871,0.828
timesfm_2_0_500m,0.736,0.765,0.679,0.765,0.717
timesfm_2_5_200m,0.654,0.655,0.577,0.65,0.686
toto,0.639,0.635,0.567,0.635,0.682
toto_2.0_1b,0.603,0.597,0.536,0.609,0.653
toto_2.0_2.5b,0.602,0.597,0.534,0.605,0.651
toto_2.0_22m,0.623,0.613,0.552,0.627,0.666
toto_2.0_313m,0.605,0.6,0.538,0.613,0.654
toto_2.0_4m,0.648,0.642,0.569,0.652,0.68
visionts,1.044,1.003,0.858,1.045,0.92
