model,long,medium,short
autoarima,0.895,0.853,0.749
autoets,0.938,0.885,0.739
autotheta,1.368,1.163,0.928
chronos_2,0.71,0.68,0.562
chronos_bolt_base,0.798,0.782,0.632
chronos_bolt_small,0.813,0.782,0.637
moirai_1.1_base,0.78,0.753,0.627
moirai_1.1_large,0.799,0.77,0.626
moirai_1.1_small,0.797,0.769,0.649
moirai_2_small,0.693,0.685,0.646
seasonalnaive,1.0,1.0,1.0
time_moe_200M,0.95,0.929,0.794
time_moe_50M,0.886,0.866,0.704
timer,0.809,0.804,0.779
timesfm_2_0_500m,0.817,0.78,0.619
timesfm_2_5_200m,0.7,0.67,0.554
toto,0.688,0.657,0.535
toto_2.0_1b,0.653,0.617,0.505
toto_2.0_2.5b,0.65,0.616,0.504
toto_2.0_22m,0.671,0.642,0.52
toto_2.0_313m,0.656,0.621,0.506
toto_2.0_4m,0.695,0.663,0.543
visionts,1.028,1.006,0.943
