model,count,distribution,gauge,rate
autoarima,0.767,0.736,0.701,0.777
autoets,1.557,1.22,3.059,1.496
autotheta,1.132,0.976,1.015,1.034
chronos_2,0.338,0.384,0.409,0.38
chronos_bolt_base,0.402,0.446,0.463,0.443
chronos_bolt_small,0.403,0.452,0.469,0.445
moirai_1.1_base,0.353,0.422,0.444,0.418
moirai_1.1_large,0.372,0.428,0.456,0.422
moirai_1.1_small,0.379,0.432,0.459,0.433
moirai_2_small,0.398,0.428,0.427,0.429
seasonalnaive,1.0,1.0,1.0,1.0
time_moe_200M,0.698,0.596,0.703,0.596
time_moe_50M,0.651,0.604,0.694,0.619
timer,0.662,0.608,0.658,0.63
timesfm_2_0_500m,0.403,0.44,0.466,0.431
timesfm_2_5_200m,0.325,0.384,0.386,0.382
toto,0.317,0.382,0.382,0.369
toto_2.0_1b,0.279,0.36,0.35,0.351
toto_2.0_2.5b,0.278,0.358,0.349,0.35
toto_2.0_22m,0.303,0.373,0.364,0.362
toto_2.0_313m,0.281,0.361,0.353,0.351
toto_2.0_4m,0.313,0.38,0.379,0.38
visionts,0.591,0.672,0.674,0.68
