model,count,distribution,gauge,rate
autoarima,1.031,0.864,0.755,0.88
autoets,1.074,0.854,0.774,0.907
autotheta,1.578,1.144,1.062,1.158
chronos_2,0.714,0.674,0.614,0.654
chronos_bolt_base,0.88,0.753,0.696,0.739
chronos_bolt_small,0.883,0.759,0.706,0.742
moirai_1.1_base,0.795,0.724,0.686,0.728
moirai_1.1_large,0.813,0.729,0.7,0.733
moirai_1.1_small,0.808,0.737,0.704,0.75
moirai_2_small,0.686,0.745,0.616,0.711
seasonalnaive,1.0,1.0,1.0,1.0
time_moe_200M,1.035,0.877,0.89,0.862
time_moe_50M,0.652,0.878,0.76,0.846
timer,0.663,0.89,0.721,0.864
timesfm_2_0_500m,0.919,0.745,0.706,0.726
timesfm_2_5_200m,0.71,0.672,0.591,0.659
toto,0.687,0.658,0.583,0.634
toto_2.0_1b,0.634,0.626,0.541,0.609
toto_2.0_2.5b,0.626,0.625,0.54,0.609
toto_2.0_22m,0.67,0.647,0.56,0.626
toto_2.0_313m,0.626,0.629,0.545,0.61
toto_2.0_4m,0.704,0.664,0.584,0.65
visionts,1.199,1.03,0.925,1.032
