model,MASE-90-scaled,CRPS-90-scaled,Rank-90-scaled,eval_metrics/MAE[0.5]-6-unscaled,CRPS-6-unscaled,Rank-6-unscaled
toto_2.0_2.5b,0.584,0.486,2.633,0.105,0.272,1.333
toto_2.0_1b,0.588,0.486,2.711,0.106,0.274,1.667
toto_2.0_313m,0.585,0.486,2.9,0.107,0.277,3.0
toto_2.0_22m,0.601,0.5,4.322,0.111,0.29,4.0
toto_2.0_4m,0.624,0.517,5.878,0.116,0.305,6.167
toto,0.617,0.519,6.4,0.116,0.333,7.167
chronos_2,0.623,0.522,6.667,0.123,0.359,8.167
timesfm_2_5_200m,0.638,0.532,7.7,0.121,0.319,8.167
moirai_1.1_large,0.767,0.621,11.478,0.202,0.624,15.0
timesfm_2_0_500m,0.685,0.603,11.511,0.15,0.39,10.833
moirai_1.1_base,0.779,0.63,11.756,0.203,0.537,12.5
moirai_1.1_small,0.786,0.631,12.144,0.202,0.548,13.0
moirai_2_small,0.902,0.467,12.267,0.168,0.928,15.5
chronos_bolt_base,0.711,0.637,12.844,0.213,0.563,13.667
chronos_bolt_small,0.717,0.642,13.078,0.176,0.468,11.333
time_moe_200M,0.793,0.78,17.178,0.23,1.056,15.0
time_moe_50M,0.81,0.788,17.222,0.244,1.123,16.333
timer,0.807,0.793,17.622,0.296,1.363,19.333
autoarima,0.922,0.88,18.011,0.35,1.255,17.5
visionts,0.912,0.885,19.6,0.365,1.047,18.833
seasonalnaive,1.0,1.0,20.122,0.217,0.952,15.5
autoets,0.969,15.664,20.756,0.275,1.865,20.667
autotheta,1.03,1.182,21.2,0.383,2.29,21.333
