dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-0-T/Short/short,autoets,0.4588206926981608,0.4588206926981608,0.1762243270874023,0.3758133623072979,0.6418046315511068,0.3700368245442708,12.03391207876781,0.6773630434989503,1.472621452988324,0.3831205837076972,0.5758031191935311,0.2691027959187825,Application Usage,1,20
ds-0-T/Short/medium,autoets,0.2270206451416015,0.2270206451416015,0.095076052347819,0.1993074647392608,0.4156582514444987,0.1741921742757161,4.583934857788117,0.4764668353008439,1.030850346271954,0.2056999023301088,0.1876494438048634,0.1645182927449544,Application Usage,1,4
ds-0-T/Short/long,autoets,0.1984513741952401,0.1984513741952401,0.0895597811098452,0.1860737152225901,0.3492753770616319,0.1703346817581741,3.799896855697205,0.4454788145302088,0.9620976525236928,0.1934216675537884,0.1680701723828422,0.155464454933449,Application Usage,1,3
ds-1-T/Short/short,autoets,0.0097106539919262,0.0097106539919262,0.0044461372920445,0.0076108309150744,0.005915953848097,0.0037445898188485,0.4505401335293145,0.098542650623607,0.3127195642912192,0.0141095668520003,0.0245182025029413,0.0034765170869373,Infrastructure,35,700
ds-1-T/Short/medium,autoets,0.0220572698683965,0.0220572698683965,0.0209188988095238,0.0762629700653173,0.113836932712131,0.0864375474717882,49.100971418413465,0.148516900952035,0.4668931266400157,0.0657628189683205,0.7172389091721336,0.0484449295770554,Infrastructure,35,140
ds-1-T/Short/long,autoets,0.204876224578373,0.204876224578373,0.0407185549458498,0.2178896797281112,0.1289086461950231,0.122329531069155,79.78592357021611,0.4526325491813122,1.3909506205060136,0.1251290906287666,1.1513915746383192,0.061418140552662,Infrastructure,35,105
ds-2-5T/Short/short,autoets,14.14845167446486,14.14845167446486,0.35973878238664,0.4433094302390553,1.4472183395218063,0.2950612106602707,8.62226162453733,3.761442765012497,2.733967998639082,0.2614726264248221,0.3288912431202709,0.208799089704241,Database,91,1820
ds-2-5T/Short/medium,autoets,35.094273695054945,35.094273695054945,0.9836603744562727,1.3271127019538456,4.081503262362637,0.8211931053972069,20.02760151340573,5.924042006523497,5.13710172195768,0.8529925003699098,0.8230096951106856,0.5436290475475046,Database,91,364
ds-2-5T/Short/long,autoets,28.086487586487586,28.086487586487586,0.990573330026455,1.5064429466146254,3.7675035612535615,0.9610487891737892,25.640123640740168,5.299668629875606,4.743475818851129,0.8866140443746229,0.9166809293743524,0.6064685639880952,Database,91,273
ds-3-10S/Short/short,autoets,0.6131970368972932,0.6131970368972932,0.2665025961519491,0.4851398704466622,1.1243073804450758,0.3053124198528251,10.615014347407984,0.7830689860397315,0.363633430684383,0.1237557035876669,0.1828772468925285,0.2189290056324968,Application Usage,33,660
ds-3-10S/Short/medium,autoets,5.117072285353536,5.117072285353536,0.6256386126893939,1.2277245147740354,2.768259943181818,0.561746764520202,34.674546199554776,2.262094667637395,1.2645179966981703,0.349733941949166,0.6378014406608629,0.3878006299978956,Application Usage,33,99
ds-3-10S/Short/long,autoets,7.650875420875421,7.650875420875421,0.7576390204124579,1.5999553265809436,2.1343317287457912,0.6193772359006734,42.66445101267775,2.766021587203437,1.5462147213880657,0.4235225828603106,0.7418591959044546,0.4245481836595118,Application Usage,33,66
ds-4-5T/Short/short,autoets,0.5581604537143502,0.5581604537143502,0.1372671434956212,1.1424365730366732,0.7104930626952984,1.0298771855288953,96.9265223390546,0.7471013677636725,5.233317744980733,0.9615329443295676,1.5402864510788623,0.5409640732631888,Application Usage,31,620
ds-4-5T/Short/medium,autoets,0.5980689920404906,0.5980689920404906,0.1554756410660282,1.0093716528556782,1.016738816516109,1.1127217463410544,62.40930042870449,0.7733492044610187,5.207065796161974,1.0468387218365318,1.7446606356497645,0.5594352476058467,Application Usage,31,124
ds-4-5T/Short/long,autoets,0.5660678366748805,0.5660678366748805,0.1562714388720878,1.045658120128252,1.1499349727419304,1.1599684649316626,64.64835813248278,0.7523747980062068,5.160326874991536,1.0718217940609156,1.88683299034124,0.580572531642025,Application Usage,31,93
ds-5-T/Short/short,autoets,1.4591787237870066,1.4591787237870066,0.4353744774533991,0.7769937029091386,2.419409822162829,0.8828180681195176,11.681230894488902,1.2079647030385476,2.636645038874114,0.9502992538957348,0.8466025715931251,0.5179297731633772,Networking,19,380
ds-5-T/Short/medium,autoets,0.5652787057976973,0.5652787057976973,0.3922686125102796,0.6103477805033078,1.9953994483278508,0.9237260785019188,15.007965089910718,0.751850188400387,1.7304617876612811,0.9028472093518456,1.444131964935535,0.5320479008189419,Networking,19,76
ds-5-T/Short/long,autoets,0.8858472679093568,0.8858472679093568,0.4699127375730994,0.7353246288566798,2.217736126340156,0.9895464028996102,17.669099822700115,0.9411945961964278,1.9928460311813985,0.9949735557966344,1.576443401411546,0.5609202721430312,Networking,19,57
ds-6-5T/Short/short,autoets,0.6174332770748415,0.6174332770748415,0.3117099927819293,0.4219989350607928,1.3764268958050272,0.4118892946105073,9.702981915834888,0.7857692263475591,0.7281768966787912,0.2888634571027557,0.3837262223110571,0.2824257007543591,Infrastructure,23,460
ds-6-5T/Short/medium,autoets,1.445778755519701,1.445778755519701,0.7109160050101903,1.0383396946765058,2.8960198001585145,0.8771556024966033,22.12039441783412,1.202405403979748,1.1693358887984782,0.6913638244041487,0.9669220849274978,0.5696163453917572,Infrastructure,23,92
ds-6-5T/Short/long,autoets,1.9450262932769729,1.9450262932769729,0.8725970429498793,1.265260999223739,13.480922906602254,0.9203551164955716,27.503263818260624,1.3946419946627782,1.341057195427519,0.8390702041348355,1.1867460266908971,0.6312611258932166,Infrastructure,23,69
