dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-0-T/Short/short,autotheta,0.4589129130045573,0.4632297197977701,0.1925701141357421,0.4104391216967239,0.710033925374349,0.3810863812764485,12.038931670930872,0.6774311131063862,1.4727694397513584,0.4186571499617746,0.6083932035154841,0.3032873153686523,Application Usage,1,20
ds-0-T/Short/medium,autotheta,0.2271623452504476,0.2279286384582519,0.0978888114293416,0.2052128901744773,0.4121965408325195,0.1803577899932861,4.400341659586926,0.4766155109209598,1.0311720104532225,0.2117853913050894,0.1974058294402153,0.1705413182576497,Application Usage,1,4
ds-0-T/Short/long,autotheta,0.1983831758852358,0.1987221753155743,0.0944474255597149,0.1959988368880811,0.3438776652018229,0.182926771375868,3.843751113924601,0.4454022629996796,0.9619323246889744,0.2039774809801782,0.180104205604893,0.1644444783528645,Application Usage,1,3
ds-1-T/Short/short,autotheta,0.0013576837167853,0.0014631397454511,0.0040112798554556,0.0129380169861555,0.0208662708600362,0.0115624915228949,0.4751736600791541,0.0368467599224862,0.1169311220632283,0.0127295712131751,0.0191054214311893,0.0093554135731288,Infrastructure,35,700
ds-1-T/Short/medium,autotheta,0.0251519085112072,0.0718511817568824,0.0720680382138206,0.7443372044265033,1.522784152560764,0.2393645901150173,54.07032654498795,0.1585935323750852,0.4985710698299722,0.2265605562516406,0.7560851572941103,0.168903081984747,Infrastructure,35,140
ds-1-T/Short/long,autotheta,0.2227488942625661,0.4887149160879629,0.1645684652984457,1.8264853412935853,2.2502203896604938,0.3235423802177687,96.3472276815541,0.4719628102536958,1.450352973875888,0.5057228193964942,1.3386445351932288,0.2184546027612434,Infrastructure,35,105
ds-2-5T/Short/short,autotheta,14.177667923812027,14.371197730542976,0.4079016549246652,0.5023084825077564,1.8680666745364007,0.4260945749806833,13.724543117377388,3.765324411496575,2.736789335538904,0.2964793407277197,0.4438636444456315,0.3198853153885502,Database,91,1820
ds-2-5T/Short/medium,autotheta,48.73159913003663,48.67980196886447,1.083632562099359,1.4218411197427492,4.615747338598901,0.8264873798076923,30.54964106196513,6.980802183849406,6.0534835640613,0.9396845421757644,1.160712751108312,0.5783245156536172,Database,91,364
ds-2-5T/Short/long,autotheta,28.039415445665444,28.75979853479853,1.141170078474766,1.764243017956911,5.25665859025234,0.9895529672873424,36.32904241012227,5.295225721880555,4.739499187836672,1.0214058746855186,1.2752228948500095,0.6597781450320512,Database,91,273
ds-3-10S/Short/short,autotheta,0.6125511215672349,0.6720193080709438,0.3121793804746685,0.551234090660157,1.273494811395202,0.314171493992661,10.190878278562192,0.7826564518147378,0.3634418623319344,0.1449666135866722,0.1827154366685945,0.2364634812480271,Application Usage,33,660
ds-3-10S/Short/medium,autotheta,6.039240845959596,6.527383733164983,0.8719604903198653,1.6109431788948048,3.733790772306397,0.5996133207070707,30.94347031847932,2.4574866929364227,1.373742750169686,0.4874286422198376,0.5980215845744327,0.4373187934027778,Application Usage,33,99
ds-3-10S/Short/long,autotheta,10.83409196127946,11.023191287878788,1.1948580860690237,2.2287949804779275,2.739011731902357,0.7261700994318182,41.24937232235446,3.291518184862338,1.8399689636176195,0.6679294085037851,0.7307230436826192,0.510832774358165,Application Usage,33,66
ds-4-5T/Short/short,autotheta,0.587774395686324,0.5952171284665344,0.1533292667840116,3.163802629476069,1.0265314619942445,0.713730825013851,109.80323373298488,0.7666644609516761,5.370353878422636,1.0740453803311465,1.734497532021525,0.5387837563791583,Application Usage,31,620
ds-4-5T/Short/medium,autotheta,0.6259119177377352,0.6473035586777554,0.1902769519436744,1.919493732512024,1.7924306777773786,0.854742767623848,103.14366432368416,0.7911459522349433,5.326893729108655,1.281160700170868,2.6035610514125413,0.6274405530703965,Application Usage,31,124
ds-4-5T/Short/long,autotheta,0.5909278860513739,0.6349551037933094,0.2256018489349985,2.5190443457033376,2.8098330592892946,1.058729256099871,120.46079868797844,0.7687183398692748,5.272422626380385,1.5473395536269,3.2032058020859724,0.7133306031586022,Application Usage,31,93
ds-5-T/Short/short,autotheta,0.6496063767817982,0.6593746252227248,0.4006108334189967,0.6668873690190961,2.4646659984923245,0.8336620665433114,8.109900669589775,0.8059816231042729,1.759229754508624,0.8744200586295732,0.7971530905064399,0.5092309784470943,Networking,19,380
ds-5-T/Short/medium,autotheta,0.5899059094880756,0.6619861268160636,0.4431223819130345,0.6882826652183659,3.427369449013158,0.9009592156661184,15.792032563041992,0.7680533246383845,1.7677549991716477,1.0198924745758031,1.508663139797245,0.560910997892681,Networking,19,76
ds-5-T/Short/long,autotheta,1.0116551687378168,1.278572448373538,0.5771227384868421,0.9113759369911696,3.667127725999025,0.9942118207846004,20.43868232242472,1.005810702238655,2.129661468708385,1.221975522964024,1.7039706815776914,0.6086943092866716,Networking,19,57
ds-6-5T/Short/short,autotheta,0.6534647623697917,0.6877371525418932,0.3925660948822463,0.5561303285120903,1.7047472967617754,0.532924220872962,10.770651100099512,0.8083716734088298,0.7491227153830005,0.3637932755923765,0.4456179072788009,0.3661794468976449,Infrastructure,23,460
ds-6-5T/Short/medium,autotheta,1.725004776664402,1.9612467447916664,0.8641036323879077,1.2688286364445105,3.6264149541440216,0.9639255689538044,22.828771119340143,1.3133943721001708,1.2772723495415526,0.8403383631244273,1.0215411120009568,0.6462494781051857,Infrastructure,23,92
ds-6-5T/Short/long,autotheta,2.461950545994364,3.027311355173108,1.1250212296195652,1.6507884512587865,14.985175120772949,1.0243429039603462,29.09897563493996,1.569060402277224,1.508774115928626,1.0817957732262595,1.3244384628689343,0.7254383523299114,Infrastructure,23,69
ds-7-10S/Short/short,autotheta,414.2673674242424,426.3037002840909,3.246288174715909,8.281709856769272,0.722051948778557,0.2681888788396662,288.8798890333353,20.35355908494243,0.8096507186956755,0.1291351327196858,0.137707397532761,0.1996462272875236,Infrastructure,88,1760
ds-7-10S/Short/medium,autotheta,2768.156767676768,3296.180202020202,13.378775252525251,42.00810564832937,1.5326542771464646,0.5657777481849747,1448.4134424715926,52.61327558398895,3.051597619709652,0.7759759920300541,0.6472207012791846,0.3998996803977273,Infrastructure,88,264
ds-7-10S/Short/long,autotheta,3620.426666666666,4018.469494949495,16.33646938131313,90.73523280323349,2.032184540719697,0.7760798907039141,3181.483894780421,60.16998144146852,3.4898905287059536,0.9475238050688028,0.9064938288310014,0.4772927024147727,Infrastructure,88,176
ds-8-5T/Short/short,autotheta,1.936226160386029,2.051711856617647,0.8665525548598345,1.332275401438777,8.589698223039216,1.3311488731234682,22.0191821685935,1.3914834387753343,2.468859372541904,1.537493251625582,1.7044240344341066,0.8898953306908701,Application Usage,17,340
ds-8-5T/Short/medium,autotheta,1.5641405292585784,1.9287525850183824,0.9083189122817096,1.4049066787971902,8.620151654411766,1.4663985906862744,41.72699153904416,1.2506560395482758,2.226258632830521,1.6168736694069503,2.7667379751764622,0.9518229166666666,Application Usage,17,68
ds-8-5T/Short/long,autotheta,1.416857192095588,2.221665007148693,0.935821972017974,1.4526213313032776,8.793392565359477,1.4489481209150328,43.67614331949769,1.1903181054220708,2.146602401713312,1.6876477670627072,2.9773109064990537,0.9514464401211874,Application Usage,17,51
ds-9-5T/Short/short,autotheta,1.2349802652994792,1.4354558308919272,0.5033939997355144,3.204028785679032,6.254953002929687,1.8269171396891275,132.17330662606233,1.111296659447638,7.414538513453368,3.35862990925887,8.90099364908078,1.2808502197265623,Infrastructure,1,20
ds-9-5T/Short/medium,autotheta,2.221965026855469,2.981496938069661,0.9483941396077474,8.05043866791545,11.94115193684896,1.854318237304688,559.6282942597281,1.490625716555121,6.869047978179948,4.370355867900666,17.62732590943764,1.374456532796224,Infrastructure,1,4
ds-9-5T/Short/long,autotheta,8.409776475694445,10.881224681712965,1.526724808304398,53.18887932395517,14.287122034143518,1.3010507089120371,2189.457769780499,2.899961461070551,4.621389596266927,2.432994451883481,5.874282695782861,0.9754610414858218,Infrastructure,1,3
ds-10-T/Short/short,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,20
ds-10-T/Short/medium,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,4
ds-10-T/Short/long,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,3
ds-12-10S/Short/short,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,20
ds-12-10S/Short/medium,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,3
ds-12-10S/Short/long,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,2
ds-13-10S/Short/short,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,20
ds-13-10S/Short/medium,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,3
ds-13-10S/Short/long,autotheta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,2
ds-14-10S/Short/short,autotheta,0.5134500184863683,0.5134500184863683,0.462344166947981,0.919436413986387,2.642580526218493,0.6819759667164995,7.725912466467982,0.7165542676492607,0.779108718717353,0.5027063375102279,0.4168724996611607,0.495650835704411,Infrastructure,81,1620
ds-14-10S/Short/medium,autotheta,0.7926081854423869,0.8162280306927298,0.6892163923182442,1.818362019477429,2.818868741426612,1.1079952203360768,19.452138236739923,0.8902854516627725,0.9692186238692206,0.7503226769157932,0.6757888279801173,0.6533744320130316,Infrastructure,81,243
ds-14-10S/Short/long,autotheta,0.8131414501886145,0.923234632201646,0.7294581618655692,1.917500336895232,3.532969393004115,1.0878638331618655,22.75277925949521,0.9017435612127288,0.9816926153844252,0.7941323027272398,0.7434213748580153,0.6747051290294924,Infrastructure,81,162
ds-15-T/Short/short,autotheta,0.0016706989457209,0.0016858153045177,0.0314509153366088,0.0753610776556738,2.905390167236328,0.7801766713460286,0.5488602139835108,0.0408741843431889,0.833588898661979,0.6414105699878913,0.504180217885239,0.5925581614176433,Infrastructure,1,20
ds-15-T/Short/medium,autotheta,0.0052623311678568,0.0050669680039087,0.0576098839441935,0.1333771048959076,6.687182108561198,1.0894550323486327,0.8419308549070512,0.0725419269654236,1.3389143882368169,1.0633120147787,0.8302417150029409,0.7807455698649088,Infrastructure,1,4
ds-15-T/Short/long,autotheta,0.0046451462639702,0.00454384220971,0.0535615143952546,0.1225711284377039,2.2149418583622684,1.2592122395833334,0.8622892301055911,0.0681553098736281,1.2264588766863396,0.9638426543819668,0.7810142645689483,0.737617266619647,Infrastructure,1,3
ds-16-T/Short/short,autotheta,0.8941496107313368,0.9056858486599392,0.6015687730577257,0.7200780699693422,197.8509765625,0.7838916354709201,5.494224133840741,0.9455948449158004,0.5997426694494679,0.3815444465998621,0.2994127196427607,0.4991878509521484,Infrastructure,3,60
ds-16-T/Short/medium,autotheta,0.6824884626600477,0.7038972642686632,0.5269146389431424,0.6512187537509452,36.45657823350695,0.7539942423502605,5.814990563116655,0.8261285993476123,0.5692359556279868,0.3630654576902853,0.3007304953886424,0.477444585164388,Infrastructure,3,12
ds-16-T/Short/long,autotheta,0.7040005154079861,0.7222286271460262,0.533971565152392,0.6809923362707611,45.31273148148148,0.7834358121141975,6.258077186659652,0.8390473856749606,0.5915181695800955,0.3764434383794392,0.3230387116351998,0.4810646339699074,Infrastructure,3,9
ds-17-5T/Short/short,autotheta,1.0995530980532445e-07,1.2072928257111928e-07,0.0002498705560962,0.000730600572343,0.0006006265059113,0.0006004253402352,0.0096464823249743,0.0003315950991877,0.0007968446600072,0.0006004552504124,0.0006387121399087,0.0006006260712941,Infrastructure,1,20
ds-17-5T/Short/medium,autotheta,2.1749445598591894e-07,2.267039235448465e-07,0.0003798458104332,0.0010676673639099,0.0009126539652546,0.000912644714117,0.0273916211259355,0.0004663630088095,0.0011204027191588,0.0009125515335292,0.0014763604381517,0.0009126532201965,Infrastructure,1,4
ds-17-5T/Short/long,autotheta,2.7190113474649414e-07,3.3003916205079465e-07,0.0004665794195952,0.0012951979743789,0.0011213418510225,0.001120634873708,0.0325983651727773,0.0005214414010667,0.0012526617669826,0.001120866503872,0.0018383494939949,0.0011213405264748,Infrastructure,1,3
ds-18-5T/Short/short,autotheta,0.0908965667088826,0.0851560354232788,0.207607634862264,0.4231273684042335,1.8615826924641927,0.986650021870931,4.412283860917106,0.3014905748259515,1.0337833769335223,0.7118674338957112,0.6572333936333482,0.6131699244181316,Infrastructure,1,20
ds-18-5T/Short/medium,autotheta,0.1406518141428629,0.1386114438374837,0.2483408292134603,0.500294618481366,2.306977081298828,0.9453577041625976,8.204466089435321,0.3750357504863542,1.0475491751547408,0.6936651518220268,0.810371202573251,0.6093588511149088,Infrastructure,1,4
ds-18-5T/Short/long,autotheta,0.1599190464726201,0.1932197288230613,0.3156450059678819,0.6321645586675768,1.6732051142939814,1.211035269278067,10.35101876678802,0.3998987952877829,1.0841808618896722,0.8557572032072681,0.9996443710585932,0.6764565927010996,Infrastructure,1,3
ds-19-T/Short/short,autotheta,0.4215986633300781,0.4265251541137695,0.4053073628743489,0.7895349536895929,2.8083687337239582,0.7349128214518229,6.702502372732979,0.6493062939245838,0.8628424701418956,0.5386000558155996,0.4418438848340602,0.5114156214396158,Infrastructure,40,800
ds-19-T/Short/medium,autotheta,0.415548833211263,0.4376483662923177,0.4142559305826823,0.7930514038438677,22.889873046875,0.7090214029947917,10.168656614477197,0.644630772777148,0.8703084673404164,0.5592820871378558,0.5558240202507729,0.5158199564615885,Infrastructure,40,160
ds-19-T/Short/long,autotheta,0.4527414731626157,0.5075694444444444,0.439111011646412,0.8271537856748337,11.00787326388889,0.7400483760127314,11.597462955266474,0.6728606640030429,0.9098087388534992,0.5937440797117242,0.6219335321933843,0.5302649830005787,Infrastructure,40,120
ds-20-T/Short/short,autotheta,0.9238126118977864,0.9378424326578776,0.7704340616861979,0.6858636019013662,13.879483032226563,0.4754716873168945,4.741050562080062,0.9611517111766416,0.5276518366472702,0.4229519054454742,0.3283495133631715,0.4377510070800781,Infrastructure,1,20
ds-20-T/Short/medium,autotheta,1.1073328653971355,1.1252498626708984,0.8459589004516601,0.759816111105216,11.922238159179688,0.6760457356770834,7.03292414423689,1.0522988479501132,0.6829170029829936,0.5490072692454613,0.4630282488913887,0.5413300196329752,Infrastructure,1,4
ds-20-T/Short/long,autotheta,1.1306943540219907,1.142977453161169,0.8545717027452256,0.7684266482091059,7.785452835648148,0.7733362268518519,7.860694317440825,1.0633411277769664,0.7275415926642046,0.5847008466237287,0.5132590585878144,0.567876688639323,Infrastructure,1,3
ds-21-10S/Short/short,autotheta,1.868204205137311,1.931923251065341,1.047955773555871,0.965253250837603,5.839295854048295,1.4329832800662878,11.088222400805746,1.3668226677727109,1.5567243853055557,1.1935552035250951,1.1682548587476662,0.8378411310369318,Infrastructure,55,1100
ds-21-10S/Short/medium,autotheta,1.6572613636363636,2.0681860795454545,1.0876925505050503,1.0040454115266684,6.312929924242424,1.4140372474747476,27.726142368050223,1.2873466369383049,1.4861420624228334,1.2556568712013465,2.24029342567353,0.8514691445707071,Infrastructure,55,165
ds-21-10S/Short/long,autotheta,1.8327615214646464,3.81421875,1.4560277777777777,1.3433898892475549,11.63259090909091,1.4701275252525252,33.69974928772598,1.3537952287789488,1.5628518191345218,1.680871385004677,2.634720144731606,0.9301643781565656,Infrastructure,55,110
ds-22-10S/Short/short,autotheta,1.4464498697916666,1.4787110677083333,0.824430078125,1.2756184880644088,4.471466015625,1.177891796875,11.664743487539065,1.2026844431486037,1.2590050848062806,0.8630374046489299,0.7194385326953386,0.7252078776041667,Infrastructure,50,1000
ds-22-10S/Short/medium,autotheta,2.1257796875,2.4059663194444445,1.00834765625,1.5508037125355707,6.176550694444445,1.179954513888889,16.109829855232615,1.458005379791172,1.596896567725004,1.1044039573913011,0.9559538093838664,0.7788282118055555,Infrastructure,50,150
ds-22-10S/Short/long,autotheta,2.025659027777778,2.4080057291666668,1.0978079861111112,1.6733473297133132,8.08757638888889,1.1914440972222222,16.239069765169123,1.423256486996556,1.5588374573780217,1.202386376168944,1.0168200100596978,0.8219614583333333,Infrastructure,50,100
ds-23-10S/Short/short,autotheta,0.0022612518734402,0.0023037972273649,0.0377434568051938,0.1299122909358691,0.4123234953703704,0.2549512849030671,0.904228964693684,0.0475526221510466,0.2977651412852686,0.2363420825142786,0.1861388834349354,0.2649444580078125,Infrastructure,9,180
ds-23-10S/Short/medium,autotheta,0.0023441133381407,0.0024293308493531,0.0387941299250096,0.1293095113262152,0.4286167474440586,0.2646086214795524,1.3809317629481137,0.0484160442223525,0.3062263047258686,0.2453687252397695,0.2215990853594913,0.2738626663773148,Infrastructure,9,27
ds-23-10S/Short/long,autotheta,0.0023859337229787,0.0024183247413164,0.0388984887393904,0.1285458171360431,0.4222831669560185,0.2658715518904321,1.5821756174639157,0.0488460205439374,0.3089458590015932,0.2460287835862679,0.2351927739293575,0.272457863136574,Infrastructure,9,18
ds-24-10S/Short/short,autotheta,0.0022198284033573,0.0022607884262547,0.0373900373054273,0.1287938272039847,0.4066091826467803,0.2531992964311079,0.8968801295164102,0.0471150549544124,0.2963600832745868,0.2351884037957297,0.1850975615025164,0.263196318655303,Infrastructure,11,220
ds-24-10S/Short/medium,autotheta,0.0023129721362181,0.0023988985774492,0.0385154338798137,0.1284508307535368,0.4293568497474747,0.2638547092013888,1.3725653559553743,0.0480933689422787,0.3057734289634907,0.2448777564237997,0.2212773235235713,0.2732021878945707,Infrastructure,11,33
ds-24-10S/Short/long,autotheta,0.0023502843066899,0.0023838174222695,0.038593626696654,0.1276196052740736,0.4226770142834596,0.2649416775173611,1.5723535041398389,0.0484797308850817,0.308229884368261,0.2453748995071686,0.234991227296103,0.2714919211647727,Infrastructure,11,22
ds-25-10S/Short/short,autotheta,1.084176025390625,1.1093693033854166,0.8159519958496094,1.0934255328092923,2.7292403157552085,0.6608465576171875,7.3672847155240255,1.0412377372102035,0.6291056420077883,0.4929902037279661,0.3894505312207978,0.5228285725911458,Infrastructure,4,80
ds-25-10S/Short/medium,autotheta,1.3316033257378472,1.3431879340277777,0.8978721110026041,1.2169021814284888,2.6491514756944445,0.9937940809461806,12.629905197686458,1.1539511799629338,0.8363533471460584,0.650753999289854,0.593861143660173,0.6388694254557291,Infrastructure,4,12
