dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,dataset_size
ds-0-T/Short/short,chronos_2,0.4545656204223632,0.4545656204223632,0.147015364964803,0.3128980468560973,0.7158194224039713,0.2478584672900468,7.315823036512851,0.6742148177119539,1.4657770511903847,0.3196188254495649,0.2877442684766022,"['Networking', 'Application Usage']",1,20
ds-0-T/Short/medium,chronos_2,0.231435489654541,0.231435489654541,0.0864614566167195,0.1815592691325259,0.4302541414896647,0.1521051293663478,5.297884016418058,0.4810774258417672,1.0408254977484004,0.1870619650499838,0.1794857925913664,"['Networking', 'Application Usage']",1,4
ds-0-T/Short/long,chronos_2,0.2029900303593388,0.2029900303593388,0.0768870883517795,0.1599922860891097,0.3655517860695167,0.1371556514191544,3.8590829576615913,0.4505441491788999,0.9730372222985024,0.1660525367309304,0.1543727527302398,"['Networking', 'Application Usage']",1,3
ds-1-T/Short/short,chronos_2,0.0010922610192071,0.0010922610192071,0.0027293148494902,0.008134671897344,0.0122108183966742,0.2963088354373095,0.0989533536840323,0.0330493724480084,0.1048803311384834,0.0086613277043619,0.0072098266569417,['Infrastructure'],35,20
ds-1-T/Short/medium,chronos_2,0.0194553502400716,0.0194553502400716,0.0193198231288364,0.0499823109260475,0.0610668351915147,0.3404716658740501,1.106890400541248,0.1394824370308736,0.4384914893157748,0.0607358044311036,0.0522605625745794,['Infrastructure'],35,4
ds-1-T/Short/long,chronos_2,0.1996792198867394,0.1996792198867394,0.0360776709501074,0.1927941807658867,0.0796659794560185,0.3588659992787115,9.353044244044025,0.4468548085080202,1.3731954855976334,0.1108675434085102,0.1043483899660318,['Infrastructure'],35,3
ds-2-5T/Short/short,chronos_2,12.42352764423077,12.42352764423077,0.2532830430474473,0.2654674077548769,0.911731448889652,0.1989298203678784,5.069609544313957,3.5247024901728614,2.5618958879418203,0.1840963282086322,0.1657181524081877,['Database'],91,20
ds-2-5T/Short/medium,chronos_2,23.850416380494504,23.850416380494504,0.7031671209649726,0.9423496507818472,2.4290191091460622,0.6495201826829986,11.41295386020839,4.883688808727938,4.234947053994533,0.6097594756804497,0.4924638436857356,['Database'],91,4
ds-2-5T/Short/long,chronos_2,27.338764245014247,27.338764245014247,0.7838581412800163,1.1645872626990728,2.7765453296703297,0.8025944057266264,15.384557240013056,5.22864841474489,4.679909741923363,0.7015934254285238,0.5912538138971182,['Database'],91,3
ds-3-10S/Short/short,chronos_2,0.573812440814394,0.573812440814394,0.2001086055871212,0.3937319914786183,0.6879203164457071,0.206510277601641,5.664133166389333,0.7575040863351128,0.3517618765280914,0.0929243549712091,0.0777698204380174,['Infrastructure'],33,20
ds-3-10S/Short/medium,chronos_2,8.435365635521885,8.435365635521885,0.766361531986532,1.4816885303193046,2.10411773989899,0.5302650187165602,23.55815833986691,2.904370092726112,1.623552088197629,0.428398525617376,0.3625074982721885,['Infrastructure'],33,3
ds-3-10S/Short/long,chronos_2,7.7893586910774415,7.7893586910774415,0.7165337621001684,1.503785057061801,1.2451257365319863,0.553102724231025,34.807108825818815,2.790942258642669,1.5601455693978656,0.4005446443052655,0.3818691903927982,['Infrastructure'],33,2
ds-4-5T/Short/short,chronos_2,0.5609371718539986,0.5609371718539986,0.0712589140861265,0.3285889614307212,0.0899207575055222,0.2035925156855076,12.234701482856345,0.7489573898787558,5.246319240406655,0.4991565836356193,0.4969976686987346,['Application Usage'],31,20
ds-4-5T/Short/medium,chronos_2,0.5929329164566532,0.5929329164566532,0.0780198538175193,0.3765357226153146,0.1043153234410357,0.2190718239129087,14.311132947857232,0.7700213740258469,5.184659059419435,0.5253183295351015,0.5279932870170402,['Application Usage'],31,4
ds-4-5T/Short/long,chronos_2,0.5621064581466547,0.5621064581466547,0.0752209662251717,0.3746997312737291,0.1122920755293972,0.2243318915603017,16.03244488217175,0.7497375928594315,5.142239027512017,0.5159194255352797,0.5174686399882699,['Application Usage'],31,3
ds-5-T/Short/short,chronos_2,0.4855908310204221,0.4855908310204221,0.3219469572368421,0.5054661409251365,1.703840396278783,0.6505276659464942,4.926891283018983,0.696843476700774,1.5210120718703264,0.70271908230753,0.5687501211337415,"['Networking', 'Application Usage']",19,20
ds-5-T/Short/medium,chronos_2,0.5926242226048519,0.5926242226048519,0.3653055291426809,0.5600790049823102,1.7162976716694078,0.7293380412703575,5.527406616255606,0.769820902940971,1.7718233745404173,0.8407889067588602,0.6758818303824983,"['Networking', 'Application Usage']",19,4
ds-5-T/Short/long,chronos_2,0.9732876842714424,0.9732876842714424,0.4553398266173246,0.7385810661600983,1.7273911504020467,0.7928098713463472,8.711939809216135,0.9865534371089296,2.0888871522939225,0.9641175814419172,0.7889240595675394,"['Networking', 'Application Usage']",19,3
ds-6-5T/Short/short,chronos_2,0.4934916178385417,0.4934916178385417,0.2674072044483129,0.3714519738674627,0.9069381050441576,0.3783865245653721,6.259138617815326,0.7024895855730117,0.651001277581545,0.2478078469851825,0.2131089845364311,['Infrastructure'],23,20
ds-6-5T/Short/medium,chronos_2,0.8934986059216485,0.8934986059216485,0.5560498223788496,0.7761247840316535,2.494276317651721,0.7931456505384195,6.9761883651398024,0.9452505519287724,0.9192535942553804,0.540756941917491,0.4322207966918089,['Infrastructure'],23,4
ds-6-5T/Short/long,chronos_2,1.581822570702496,1.581822570702496,0.7774561097272544,1.0927836242340334,12.20312751610306,0.8714965763594034,8.79832842589231,1.257705279746609,1.2093820325449436,0.7475848796515053,0.5977351527326493,['Infrastructure'],23,3
ds-7-10S/Short/short,chronos_2,491.27882575757576,491.27882575757576,2.5982377485795456,9.005909435866279,0.4941220555160985,0.2237236502962974,611.5686259541174,22.164810528348212,0.8817011506031864,0.1033561378534346,0.1231695564544388,['Infrastructure'],88,20
ds-7-10S/Short/medium,chronos_2,1858.398383838384,1858.398383838384,8.179391571969697,38.57166210528407,0.9563161892361112,0.5104890652131475,1450.1494112061152,43.10914501400351,2.5003530544767028,0.4744090075108666,0.4459166261196478,['Infrastructure'],88,3
ds-7-10S/Short/long,chronos_2,4539.5874747474745,4539.5874747474745,16.488112373737373,94.75101179683756,1.4576475694444444,0.7389949528904386,345073.2303888702,67.37646083572122,3.907870118873886,0.9563191782819525,31.713083447082667,['Infrastructure'],88,2
ds-8-5T/Short/short,chronos_2,0.6982367422066483,0.6982367422066483,0.2030716241574754,0.3428481480994789,0.7041170008042279,0.3990324676947056,8.119494873802385,0.8356056140349036,1.482585199701964,0.3603027306165718,0.3274300743243976,['Application Usage'],17,20
ds-8-5T/Short/medium,chronos_2,1.0527084051393996,1.0527084051393996,0.4370359532973346,0.6862456349618753,3.228331562117034,1.094522288082559,13.968864595591414,1.0260157918567334,1.8263828623651324,0.7779558381798428,0.7005885271039702,['Application Usage'],17,4
ds-8-5T/Short/long,chronos_2,1.053994651245915,1.053994651245915,0.4809376702069717,0.7229008125287851,3.645452069716776,1.0884735054626529,11.81960232050189,1.0266424164459187,1.8514322164773571,0.8673161000119806,0.7524142913071493,['Application Usage'],17,3
ds-9-5T/Short/short,chronos_2,1.2500025431315105,1.2500025431315105,0.0988802750905354,0.6744019902737315,0.2400048573811849,0.1382333443910739,24.675245414302665,1.118035126072303,7.459497363896626,0.6597262770897259,0.6870894108428618,['Infrastructure'],1,20
ds-9-5T/Short/medium,chronos_2,2.2223358154296875,2.2223358154296875,0.1552792390187581,1.1306444591439857,0.076376740137736,0.0902908566811564,114.94154827700729,1.4907500848330304,6.869621087618778,0.7155522214524194,0.940459309864194,['Infrastructure'],1,4
ds-9-5T/Short/long,chronos_2,8.410330765335647,8.410330765335647,0.567006994176794,46.65230754265376,0.064761154739945,0.1055707184522288,1866.302832291878,2.900057027945424,4.621541892001617,0.903584498992578,0.9059102609836668,['Infrastructure'],1,3
ds-10-T/Short/short,chronos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Infrastructure'],1,20
ds-10-T/Short/medium,chronos_2,0.0,0.0,0.0,0.0,0.0,0.0,5.17124431493628e-07,0.0,0.0,0.0,1.29603829117222e-09,['Infrastructure'],1,4
ds-10-T/Short/long,chronos_2,0.0,0.0,0.0,0.0,0.0,0.0,6.466996047676285e-07,0.0,0.0,0.0,2.4334742601644363e-09,['Infrastructure'],1,3
ds-12-10S/Short/short,chronos_2,5.551115123125783e-18,5.551115123125783e-18,1.4901161193847655e-09,1.6914763531132916e-08,3.2405908617268626e-08,3.2405908634133085e-08,6.047027111174326e-07,2.356080457693621e-09,5.123822873194405e-08,3.2405901213124856e-08,3.0785606152468606e-08,['Infrastructure'],1,20
ds-12-10S/Short/medium,chronos_2,8.141635513917816e-18,8.141635513917816e-18,1.924733320871989e-09,2.103925255551661e-08,4.1857626153311385e-08,4.185763104500235e-08,1.3793604046379634e-06,2.853355132807309e-09,6.205259084496039e-08,4.1857632046041216e-08,8.63677477285484e-08,['Infrastructure'],1,3
ds-12-10S/Short/long,chronos_2,1.0762995433171656e-17,1.0762995433171656e-17,2.276566293504503e-09,2.4633331534420773e-08,4.950902318038667e-08,4.950902360862035e-08,2.123348177246694e-06,3.280700448558456e-09,7.134617078631399e-08,4.9509027151231534e-08,1.237405620423447e-07,['Infrastructure'],1,2
ds-13-10S/Short/short,chronos_2,5.551115123125783e-18,5.551115123125783e-18,1.4901161193847655e-09,1.6914763531132916e-08,3.2405908617268626e-08,3.2405908634133085e-08,6.047027111174326e-07,2.356080457693621e-09,5.123822873194405e-08,3.2405901213124856e-08,3.0785606152468606e-08,['Infrastructure'],1,20
ds-13-10S/Short/medium,chronos_2,8.141635513917816e-18,8.141635513917816e-18,1.924733320871989e-09,2.103925255551661e-08,4.1857626153311385e-08,4.185763104500235e-08,1.3793604046379634e-06,2.853355132807309e-09,6.205259084496039e-08,4.1857632046041216e-08,8.63677477285484e-08,['Infrastructure'],1,3
ds-13-10S/Short/long,chronos_2,1.0762995433171656e-17,1.0762995433171656e-17,2.276566293504503e-09,2.4633331534420773e-08,4.950902318038667e-08,4.950902360862035e-08,2.123348177246694e-06,3.280700448558456e-09,7.134617078631399e-08,4.9509027151231534e-08,1.237405620423447e-07,['Infrastructure'],1,2
ds-14-10S/Short/short,chronos_2,0.2113940530156893,0.2113940530156893,0.294062098122428,0.5813120075169124,1.603519161522634,0.523662696742483,4.147415825402539,0.4597760900870002,0.4999140674482987,0.3197334152955775,0.2512315888648203,['Infrastructure'],81,20
ds-14-10S/Short/medium,chronos_2,0.2992549725651577,0.2992549725651577,0.3400168252743484,0.6843829478744377,2.029656207133059,0.5844949705355903,5.930735956921151,0.5470420208404083,0.5955431210355645,0.3701629374237131,0.2964346914088021,['Infrastructure'],81,3
