dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-0-T/Short/short,chronos_bolt_base,0.4579311370849609,0.4579311370849609,0.1504627704620361,0.3200809450554922,0.7336383819580078,0.2536913553873698,7.38510554327878,0.6767060935775301,1.471193210693284,0.3271136590415354,0.2963672740361358,0.2316370964050293,Application Usage,1,20
ds-0-T/Short/medium,chronos_bolt_base,0.2333056290944417,0.2333056290944417,0.0867437124252319,0.1820576282317205,0.4378287315368652,0.1520518779754638,6.616514517896154,0.483017214076726,1.0450222880086055,0.1876726339914192,0.1849630053255329,0.1467710494995117,Application Usage,1,4
ds-0-T/Short/long,chronos_bolt_base,0.2013198287398727,0.2013198287398727,0.0811219745212131,0.1688533901462959,0.3558670891655816,0.1482222239176432,6.077958036408148,0.4486867824439145,0.9690258796323208,0.1751985924117462,0.1721463993289145,0.1392731419316044,Application Usage,1,3
ds-1-T/Short/short,chronos_bolt_base,0.0010041081337701,0.0010041081337701,0.0049084736052013,1.1950403132545997,0.0500576739841037,0.3235491362072172,8.603782001372979,0.0316876653253307,0.1005590206295845,0.0155767644431236,0.012611180312827,0.2653970482235863,Infrastructure,35,700
ds-1-T/Short/medium,chronos_bolt_base,0.0184174564906529,0.0184174564906529,0.0205368314470563,1.3254320060156928,0.1215071445041232,0.3615055629185268,36.168746352024186,0.1357109298864793,0.4266349483981342,0.0645617123985898,0.0611142956037434,0.2997086588541666,Infrastructure,35,140
ds-1-T/Short/long,chronos_bolt_base,0.2042021251860119,0.2042021251860119,0.0422657961567873,1.4241733485360104,0.2203401843412422,0.4057324993799603,42.70779276442161,0.4518872925697423,1.3886604291616789,0.1298837997771003,0.1241568964174137,0.3378102523561508,Infrastructure,35,105
ds-2-5T/Short/short,chronos_bolt_base,13.38987062335451,13.38987062335451,0.2919369875729739,0.3034153394635486,1.236399131467491,0.2486937023344494,5.035600445342413,3.6592172145630415,2.659666354022366,0.2121915529508141,0.1882206768793762,0.1879917410267141,Database,91,1820
ds-2-5T/Short/medium,chronos_bolt_base,26.55103021978022,26.55103021978022,0.7641287667410714,1.0125163899665772,2.518601548191392,0.6749985244247939,28.621785879248097,5.152769179749877,4.468283546435815,0.6626231210211433,0.6230128956497154,0.4627801804315476,Database,91,364
ds-2-5T/Short/long,chronos_bolt_base,26.61700244200244,26.61700244200244,0.8759189306064306,1.3101162161531643,2.910517462861213,0.8333901703042328,41.68468142586261,5.159166836031031,4.61771949177628,0.7839924638275104,0.7558647673491072,0.5498404192740131,Database,91,273
ds-3-10S/Short/short,chronos_bolt_base,0.6677596275252525,0.6677596275252525,0.2209210266729798,0.4309510096765344,0.7531979462594697,0.2348433554292929,6.564462507217384,0.8171656059363075,0.3794668730687298,0.1025890108170598,0.0881233720535745,0.1766287632181186,Application Usage,33,660
ds-3-10S/Short/medium,chronos_bolt_base,5.15731007996633,5.15731007996633,0.588359111952862,1.1691678722016707,1.8743844696969696,0.5448903751052189,36.531717895790685,2.270971175503188,1.269479992367366,0.3288945843998631,0.3147460630964246,0.3579538220749158,Application Usage,33,99
ds-3-10S/Short/long,chronos_bolt_base,7.805698127104377,7.805698127104377,0.7517455808080808,1.5744738191287704,1.4727375315656566,0.6128544560185185,54.042763908612194,2.7938679509068387,1.5617809258220874,0.4202281316824684,0.4082827445860433,0.3988274016203704,Application Usage,33,66
