dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-0-T/Short/short,chronos_bolt_small,0.4561726252237956,0.4561726252237956,0.1487922509511312,0.3165921650113759,0.7050533930460612,0.2502104123433431,7.504673651287937,0.6754055264978186,1.4683657122033453,0.32348186528927114,0.2938202672977632,0.22706562678019207,Application Usage,1,20
ds-0-T/Short/medium,chronos_bolt_small,0.23290292421976724,0.23290292421976724,0.08685076236724854,0.18236473363648337,0.4342602411905924,0.15251719156901042,6.541944860174308,0.4826001701406323,1.0441200008942018,0.1879042397646239,0.1855045283710199,0.14704957008361816,Application Usage,1,4
ds-0-T/Short/long,chronos_bolt_small,0.2006647887053313,0.2006647887053313,0.08153276090268735,0.16978029246481358,0.34935952645761,0.15003717210557727,6.156526905323324,0.4479562352566725,0.9674481216986588,0.17608576504580709,0.17325192401531014,0.13983281453450522,Application Usage,1,3
ds-1-T/Short/short,chronos_bolt_small,0.0009121458090486981,0.0009121458090486981,0.004478472300938198,1.717177881968766,0.025519972907172308,0.30932208833240327,12.72437347319173,0.03020175175463665,0.09584356204925297,0.014212180185705086,0.012024737369108947,0.24546464102608817,Infrastructure,35,700
ds-1-T/Short/medium,chronos_bolt_small,0.019371726626441592,0.019371726626441592,0.02306709652855283,1.7173756488488063,0.10372595893012153,0.3704484340122768,45.86672166387308,0.13918235026914005,0.4375480653966219,0.07251611602238668,0.06927391536070632,0.28392874581473215,Infrastructure,35,140
ds-1-T/Short/long,chronos_bolt_small,0.20076997302827382,0.20076997302827382,0.04396824750950727,1.8722484229170138,0.14540803132233796,0.40561350343088626,56.42132097085568,0.4480736245621626,1.3769409364050451,0.13511547339343696,0.13154973881010718,0.3041962735615079,Infrastructure,35,105
ds-2-5T/Short/short,chronos_bolt_small,14.116968377081902,14.116968377081902,0.2976276621277079,0.3162647928428964,1.139145277533339,0.26227681925008584,5.753974907872966,3.757255431439537,2.7309244760592395,0.21632776426526723,0.19458014217477212,0.19610363188244048,Database,91,1820
ds-2-5T/Short/medium,chronos_bolt_small,30.185264995421246,30.185264995421246,0.8643848908253206,1.1397356763370126,3.307617902930403,0.7084825900011447,33.363456860039875,5.4941118477349224,4.764282799235281,0.7495613816045182,0.7155773493772337,0.5016442379235349,Database,91,364
ds-2-5T/Short/long,chronos_bolt_small,27.664646927146926,27.664646927146926,1.0385770407254782,1.5730320569588496,4.5149515415140415,0.8839730076058201,49.74240493131179,5.259719282162017,4.707719099310206,0.929579832769828,0.8978050430735873,0.6131320430148555,Database,91,273
ds-3-10S/Short/short,chronos_bolt_small,0.6640143592911537,0.6640143592911537,0.23116844408439868,0.4439361425502757,0.8258585365372475,0.2464523346255524,6.7152683723302005,0.814870762324403,0.3784012087708792,0.10734759757694677,0.09224848133532913,0.1824627562243529,Application Usage,33,660
ds-3-10S/Short/medium,chronos_bolt_small,5.302838278619529,5.302838278619529,0.6242916798190236,1.2351696253385533,2.0097118318602694,0.5311688499579125,38.4474725188671,2.302789238862195,1.2872663893352567,0.34898100226043655,0.33462241986752467,0.35694362242213806,Application Usage,33,99
ds-3-10S/Short/long,chronos_bolt_small,7.839649095117845,7.839649095117845,0.7710782959806397,1.6397790465658229,1.5958662142255893,0.6213235874368687,56.83437210225888,2.7999373377127292,1.5651737320360672,0.4310351799508211,0.41968836709777135,0.411326448074495,Application Usage,33,66
ds-4-5T/Short/short,chronos_bolt_small,0.5608438594366915,0.5608438594366915,0.07207913142378612,0.3924386241189153,0.10876499042027332,0.2260290986748152,12.5427361343879,0.7488950924106069,5.245882480409487,0.5049020304326635,0.5038245052773954,0.16819700220579742,Application Usage,31,620
ds-4-5T/Short/medium,chronos_bolt_small,0.5928252189390121,0.5928252189390121,0.08054338680800571,0.47526587122288194,0.20529463417823535,0.3510856054162466,14.947789890949078,0.76995143933823,5.1841881796179745,0.5423096217539977,0.5381894420669449,0.23953404580393145,Application Usage,31,124
ds-4-5T/Short/long,chronos_bolt_small,0.5618292987417861,0.5618292987417861,0.0787236185199186,0.47456394169483374,0.24867709938020816,0.3922567169298835,14.671105296380194,0.7495527324623572,5.140971122104137,0.5399431312976621,0.5346346789976836,0.2657660298592443,Application Usage,31,93
ds-5-T/Short/short,chronos_bolt_small,0.48928404690926536,0.48928404690926536,0.32795910751610474,0.5152413453212616,1.9242581551535087,0.6612477085046601,5.134245784560474,0.699488417995084,1.526785230079514,0.7158419046606245,0.578294024440549,0.40812833016378836,Networking,19,380
ds-5-T/Short/medium,chronos_bolt_small,0.548883056640625,0.548883056640625,0.355078339158443,0.5256532121707803,1.8336016738623904,0.7356780470463268,14.172897497967872,0.7408664229404819,1.7051815034953113,0.8172499083191047,0.7652701972146868,0.43727125201308936,Networking,19,76
ds-5-T/Short/long,chronos_bolt_small,0.8791209795321637,0.8791209795321637,0.43375203688474656,0.6700652974307101,1.8544640137670565,0.8036836204008284,20.759938594496848,0.9376145154231369,1.9852657180461617,0.9184084021687411,0.8786878431670561,0.4654651426200049,Networking,19,57
ds-6-5T/Short/short,chronos_bolt_small,0.5236048159391984,0.5236048159391984,0.2914596336475317,0.4050489776269679,1.0270491890285327,0.4034911224807518,7.569279370984132,0.7236054283511134,0.670569344750056,0.27009733191399155,0.23301185463029464,0.2777523538340693,Infrastructure,23,460
ds-6-5T/Short/medium,chronos_bolt_small,1.1240850033967391,1.1240850033967391,0.6379897850147193,0.8915407561693898,3.0512896993885867,0.8478131722712863,24.15861264908888,1.0602287505046915,1.0310694913693057,0.6204432796420647,0.5843569121980098,0.5418412802875906,Infrastructure,23,92
ds-6-5T/Short/long,chronos_bolt_small,1.54195491772343,1.54195491772343,0.81064067846719,1.1500863900524358,10.475418931159421,0.8971031790962157,35.069532411118324,1.2417547735859242,1.1940441923065217,0.7794943210694968,0.7480578314012173,0.6170585104040861,Infrastructure,23,69
ds-7-10S/Short/short,chronos_bolt_small,524.3966524621212,524.3966524621212,2.9147560073390153,9.785994651715379,0.5411900884454901,0.23917309154163707,297.52548541604847,22.899708567187513,0.9109348110552986,0.1159470088899809,0.10653854134157692,0.16948258833451704,Infrastructure,88,1760
ds-7-10S/Short/medium,chronos_bolt_small,1879.019595959596,1879.019595959596,8.837493686868687,39.28847495284101,1.210410649463384,0.5362664733270202,1528.25913565231,43.347659636473985,2.5141870278630383,0.512579275852091,0.5025061022256435,0.3542545326309975,Infrastructure,88,264
ds-7-10S/Short/long,chronos_bolt_small,4224.039595959596,4224.039595959596,16.38658775252525,93.0407848902117,1.5637076822916667,0.7506723978061869,3657.4525543654086,64.99261185673028,3.769605625943326,0.9504306969244617,0.9467484445439075,0.4298713206281566,Infrastructure,88,176
ds-8-5T/Short/short,chronos_bolt_small,0.963171506395527,0.963171506395527,0.3856773825252757,0.5719432935383458,1.7930749033011641,0.8541280110677083,11.524150224698728,0.9814130151957059,1.741286064484549,0.6842936064427666,0.6012615343187813,0.539654541015625,Application Usage,17,340
ds-8-5T/Short/medium,chronos_bolt_small,1.3066832299325981,1.3066832299325981,0.5686792111864277,0.8288337076753173,2.8798808976715686,1.3156423531326593,23.067891515523446,1.1431024581955014,2.0348054423394424,1.0122903205843163,0.9508698855527453,0.7630142511106005,Application Usage,17,68
ds-8-5T/Short/long,chronos_bolt_small,1.3541062431917212,1.3541062431917212,0.626122142650463,0.8911780229008609,3.5402003336056644,1.3509240110974945,25.918244563277643,1.1636607079349723,2.0985288378411218,1.1291395880286905,1.0701250364088977,0.799744636352805,Application Usage,17,51
ds-9-5T/Short/short,chronos_bolt_small,1.2401575724283853,1.2401575724283853,0.11391927401224772,0.7679735266396835,0.4599169731140137,0.4158461252848307,28.3831636598582,1.1136236224274274,7.430063941777435,0.7600660340401723,0.8317751594992093,0.38870906829833984,Infrastructure,1,20
ds-9-5T/Short/medium,chronos_bolt_small,2.261028035481771,2.261028035481771,0.2484878381093343,1.943818630823331,1.4422013600667318,0.8653472900390625,50.69854538540307,1.5036715184779457,6.929165174821912,1.1450727456332002,1.0769599391920688,0.767886225382487,Infrastructure,1,4
