dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-710-T/Short/short,moirai_small,0.0947193960348765,0.09622385688126087,0.17665805518627167,0.4884307878778402,2.2045916954676312,0.784474927186966,5.214446144519496,0.30776516377731333,1.3121313009125357,0.7531669956511434,0.6334327677673159,0.5911817292372386,Application Usage,1,20
ds-710-T/Short/medium,moirai_small,0.17078385949134828,0.16662647525469462,0.19541293382644653,0.5333051742778784,2.2888795216878255,0.8191400686899821,6.442524773812716,0.4132600385850878,1.6324938629808967,0.7719362760333375,0.6610993656501926,0.5975559075673421,Application Usage,1,4
ds-710-T/Short/long,moirai_small,0.17320629402443213,0.1681063793323658,0.1971432685852051,0.5351669325342943,2.220694308810764,0.8190496374059606,6.51423727921209,0.4161806026527812,1.6321199866894551,0.77312942229469,0.6604024557629498,0.5994636818214699,Application Usage,1,3
ds-2657-D/Long/short,moirai_small,0.9934229844281462,1.0001335299744898,0.6444041972257653,0.9030341201704376,1.6978489051870749,1.0241637768388605,7.652142894703247,0.9967060672174852,1.1839302584665008,0.76545097182791,0.6093840394050622,0.6274983723958333,rate,98,1
ds-2470-H/Medium/short,moirai_small,3.329533976300032,3.84955962827383,0.4673782590335394,0.7938266099503383,2.6657380348394724,1.1732673119579136,11.304417035179876,1.8247010649144786,3.6867308020774865,0.9443178704348811,0.8389571531454227,0.6450715340858648,rate,11,11
ds-2470-H/Medium/medium,moirai_small,2.591296016808712,2.4981217817826704,0.4034485556862571,0.6793553485812698,2.657390340169271,1.2656018806226326,14.304912746738358,1.609750296415165,3.8161962876781614,0.9564457816269458,0.8680563622562067,0.665252685546875,rate,11,2
ds-2470-H/Medium/long,moirai_small,3.3958116319444445,3.2328869752209597,0.44710348110006315,0.7560817807510174,2.61875,1.2800300366950759,16.76584042104763,1.8427728107242207,3.962086254720668,0.9613027425817763,0.8801714268595938,0.6694848879419192,rate,11,1
ds-2179-30T/Short/short,moirai_small,0.40818195740381874,0.3944251457140559,0.2583583266962142,0.5807628174855122,2.6989363874707903,0.5280554635184151,8.142298928024385,0.6388911937128409,1.2498307650628913,0.505413422962646,0.4341545101501576,0.4540327128909883,gauge,7,20
ds-2179-30T/Short/medium,moirai_small,0.8099890330481151,0.7244928087506975,0.4304364522298177,0.9622690532963825,3.2289699009486608,0.8024252513098338,12.766060072215252,0.8999939072283296,1.4874162269908193,0.7113805533491909,0.6147339423584187,0.5845641968742249,gauge,7,3
ds-2179-30T/Short/long,moirai_small,0.9060319204179067,0.7649296351841518,0.4696625240265377,1.0491273951671276,3.0799954853360614,0.8874135577489459,13.78073006960263,0.9518570903333686,1.5731303592614183,0.7762093518626078,0.6637330213895485,0.632792009626116,gauge,7,2
ds-1078-10S/Short/short,moirai_small,1.2877712663014729,1.4667747561136881,0.4229170211156209,0.8190716759448302,0.18993767817815144,0.31643496910731,9.552963864696371,1.1348000997098444,1.8396602878366768,0.6856041420824028,0.6605216982050838,0.1377030336856842,Database,2,20
ds-1078-10S/Short/medium,moirai_small,1.3202823554144965,1.4120131429036458,0.41655599806043836,0.8211319178124075,0.18858842213948568,0.31615870157877607,11.24045105982852,1.1490354021589138,1.881899923374839,0.6822389452564938,0.6700507924020656,0.13744105021158853,Database,2,3
ds-1078-10S/Short/long,moirai_small,1.3520885552300348,1.4119477674696181,0.41660232543945314,0.8266067996504436,0.18879110548231337,0.31637017144097224,12.425670266286195,1.1627934275829197,1.9044328282935465,0.6823147827379243,0.671044146920134,0.13764915466308594,Database,2,2
ds-411-5T/Short/short,moirai_small,29163024.020214356,24025248.4792283,694.2688722961577,433.9725734724952,7.811849423308871,0.36292718820904024,17125.778861671297,5400.27999461272,0.7818240373594706,0.1005125832906957,0.07678545945066634,0.23341190091413053,Infrastructure,67,20
ds-411-5T/Short/medium,moirai_small,451480735.9681592,516996697.3827622,2168.0825370826533,5908.261978083958,2.646230957638565,0.5169913600333295,236292.01789596237,21248.076053331493,6.15204338382814,0.6277339084430362,0.4958209793385502,0.31095001828018115,Infrastructure,67,4
ds-411-5T/Short/long,moirai_small,13097331182122.963,1060787344.965463,3034.090747043321,47681.38920631369,1.1118091454619266,0.5463787561757186,1907229.0411661966,3619023.5122368247,1178.7964004109417,0.9882707970925071,0.9796992131597473,0.3229836467618505,Infrastructure,67,3
ds-1819-30T/Short/short,moirai_small,0.27210501829783124,0.08488939205805461,0.14959096908569336,0.16643070560091622,0.44250428676605225,0.30927499135335285,4.197792323365475,0.5216368643969014,1.0176093019948584,0.29182209315674873,0.2710117685031606,0.24514094988505045,gauge,1,1
ds-2242-30T/Short/short,moirai_small,204.00658880074818,10.43707700869332,0.20126681813659766,1.128309269606237,0.1959207051511233,0.09643929732653002,93.8069418988287,14.283087509384943,49.228356183555206,0.6936899745695052,0.7007657980529937,0.05754110931108395,rate,1,20
ds-2242-30T/Short/medium,moirai_small,2104.307302771674,6.9592464872532425,0.13537885985440679,0.74773186333761,0.1356820907857683,0.06918492350313399,95.07924022300583,45.8727294018099,202.10799008585397,0.5964578437360026,0.6355628055483814,0.0421441912651062,rate,1,3
ds-2242-30T/Short/long,moirai_small,21.651949395073785,6.959232515758938,0.13537173337406583,0.729834294456205,0.13565249972873264,0.06910653644137912,97.87621528841518,4.653165524143084,20.5011129862875,0.5964264943191327,0.6415337065101865,0.04206827481587728,rate,1,2
ds-1130-T/Short/short,moirai_small,4.364946495722203e-05,4.0387663345124264e-05,0.005128950454915563,0.04018774060275601,0.01993149264405171,0.019899733178317548,0.3807489796722712,0.006606774171804424,0.025344311079457713,0.01967521705150151,0.016022340295707295,0.01992352238545815,Application Usage,1,20
ds-1130-T/Short/medium,moirai_small,0.004696236059923346,0.004570386188182359,0.03854527013997237,0.2845269410273156,0.19766028374433517,0.1498217503229777,5.606893466032231,0.06852908915142056,0.27498775678865167,0.154671213376019,0.15044113152116118,0.17223358849684398,Application Usage,1,4
ds-1130-T/Short/long,moirai_small,0.005864712651129122,0.00579758647967268,0.055166265699598524,0.4074157544476092,0.2608639151961715,0.21043773227267795,5.5066053808351025,0.07658141191652922,0.3081640025983382,0.2219893420732608,0.19007685687450562,0.23389900348804615,Application Usage,1,3
ds-2539-30T/Short/short,moirai_small,0.0002175339749859025,0.00016429064598924014,0.009172870963811874,0.07134834850932575,0.009056861946980159,0.009045386966317893,0.9507113222622791,0.014749033018672869,0.01450569343884197,0.009021530698768663,0.007385003757778242,0.00905530913732946,gauge,1,20
ds-2539-30T/Short/medium,moirai_small,0.0023119303294354015,0.0025237174497710333,0.036909029218885635,0.27636051408375445,0.03800540367762248,0.03702361053890652,2.4527797311791164,0.04808253663686434,0.04779740487059604,0.036690156891664015,0.02917749102725051,0.03783577084541321,gauge,1,3
ds-2539-30T/Short/long,moirai_small,0.0024096655348936715,0.002517795976665285,0.03663047287199232,0.27302067510365186,0.03776886860529582,0.036768935786353214,2.94446318928976,0.04908834418569923,0.04879724793205184,0.03641325239737147,0.0293084879746724,0.0375987794664171,gauge,1,2
ds-2518-30T/Short/short,moirai_small,0.2607763048261404,0.24485294558107853,0.33396886388460795,1.0925458036987623,0.8305898894866307,0.57550221880277,9.906909310247658,0.5106626134995007,0.7451051688862356,0.48729223590935217,0.38941268191864603,0.47328970084587735,gauge,1,20
ds-2518-30T/Short/medium,moirai_small,0.5132063229878744,0.38318605422973634,0.4624409993489583,1.5258736183350339,1.1240707185533312,0.7076613108317057,19.101873519802293,0.7163842006827582,1.0312954863307007,0.665722827036542,0.5434518197035066,0.5797574679056804,gauge,1,3
ds-2518-30T/Short/long,moirai_small,0.5774801254272461,0.4868352042304145,0.5360358556111654,1.767178749011923,1.1509574042426216,0.7997972700330946,18.19007799308857,0.7599211310571947,1.0939706034687955,0.7716688541455012,0.6156810836351256,0.6084216223822699,gauge,1,2
ds-49-T/Short/short,moirai_small,1.0214583926730685,1.0977062776353623,0.9179994328816732,191.19832667391054,1.4119010247124566,1.5685361565483942,756.2463864751529,1.010672247898926,1.1412242143099525,1.0365805370685717,0.728409882044779,0.8214266204833984,Infrastructure,60,20
ds-49-T/Short/medium,moirai_small,1.0372043637876158,1.0859238914207177,0.9130054163049769,189.2312371281424,1.3668293818721065,1.5596806731047455,806.4806988431625,1.018432306924528,1.1498362570968053,1.030806587198163,0.7291203599649339,0.8180868643301504,Infrastructure,60,3
ds-49-T/Short/long,moirai_small,1.0413923701533565,1.0853975423177082,0.9126060203269676,188.15637451409654,1.3596148455584491,1.5538444914641203,819.7942935065386,1.020486340013112,1.1521552838546791,1.0303556325739711,0.7294400755391105,0.8182019495081019,Infrastructure,60,2
ds-548-5T/Short/short,moirai_small,0.8091785709063212,0.918428752819697,0.4379599163929621,0.5623545582622279,1.1885197401046752,0.6061581035455068,6.706215187768323,0.8995435347476637,1.4202273114732764,0.6914647380199549,0.6134507958132104,0.3736547589302063,Infrastructure,4,20
ds-548-5T/Short/medium,moirai_small,0.7199959595998128,0.7845600366592407,0.4032347917556763,0.5087750087360121,1.1593827724456787,0.5978363196055094,6.7074780201513144,0.8485257565918743,1.4205664941461627,0.6750789000711924,0.5942675143425346,0.3775670846303304,Infrastructure,4,4
ds-548-5T/Short/long,moirai_small,0.7207400569209346,0.7792973553692853,0.40104752999764903,0.5034757224575911,1.13858642578125,0.5932485509801794,6.62991405082235,0.8489641081464719,1.4248680791759238,0.673102453027859,0.5881687750912096,0.37560597172489874,Infrastructure,4,3
ds-715-10S/Short/short,moirai_small,8.978362691481909,8.987159817586342,0.18966875743865966,1.048023459591891,2.554540599822998,1.2157479960123698,22.578706078580897,2.996391611836128,13.862748446727757,0.877498876378299,0.7637467783805911,0.7262350298563639,Application Usage,5,20
ds-715-10S/Short/medium,moirai_small,5.995944035000271,5.99529689195421,0.18056099107530382,1.001563263939882,2.4349297960069443,1.4798023546006944,17.395621586854435,2.4486616824298677,13.211658487123762,0.9742097764262455,0.8169173288189073,0.8266330295138888,Application Usage,5,3
ds-715-10S/Short/long,moirai_small,5.999272939046224,5.995150797526041,0.18154669189453124,1.0047280791158355,2.443867838541667,1.444320041232639,17.64310357093877,2.4493413275912004,13.215325969604429,0.9795281225459335,0.819060627423051,0.82191552734375,Application Usage,5,2
ds-97-T/Short/short,moirai_small,0.6083750497727167,0.6227408840542747,0.3737817786988758,0.39784887881421793,1.3089271000453404,0.5684427897135417,4.80654475084726,0.7799840061005846,0.5839899291630111,0.27985803908475443,0.22719859836451547,0.34851983047667,Database,56,20
ds-97-T/Short/medium,moirai_small,0.8206222170875186,0.806315531049456,0.5075325284685407,0.5303848002175181,1.6119991120837984,0.8047470456077939,5.367216352145928,0.9058820105772708,0.7486585072642812,0.4194459551185812,0.3402026834523644,0.46113776252383276,Database,56,4
ds-97-T/Short/long,moirai_small,0.9039678502965857,0.8538191376539765,0.5425402363772115,0.5658233373381903,1.7734267138930224,0.8515186451099537,5.905742987644059,0.9507722389177051,0.8259748616105033,0.4713269680338077,0.386928453638433,0.5004640044358672,Database,56,3
ds-1398-5T/Short/short,moirai_small,0.8036309480667114,0.7631304873360528,0.5313511543803745,0.7542125703721658,3.146158578660753,0.8716809431711833,7.045785089970078,0.8964546547744127,1.1599017462312264,0.6875028519795754,0.5591442654454949,0.594344679514567,Application Usage,12,20
ds-1398-5T/Short/medium,moirai_small,3.2389142566257054,3.2752923753526475,0.89671753777398,1.2395898363330156,7.902906714545356,1.1689907921685112,14.588821997393103,1.799698379347413,2.12155075472609,1.0570836707261733,0.863993278357608,0.7370014402601454,Application Usage,12,4
ds-1398-5T/Short/long,moirai_small,2.487309208622685,2.3756073939947435,0.7504102165316358,1.0712070530498419,6.627617127218365,1.15779268241223,13.8515221178809,1.5771205434660616,1.9399257223760165,0.9230366616011321,0.7812275030132593,0.7048852802794656,Application Usage,12,3
ds-2681-H/Medium/short,moirai_small,0.01072801547124982,2.4034819580265322e-05,0.0037133031835158664,0.01286665160966427,0.010981096948186556,0.010928427552183468,0.32347014724901085,0.1035761336952187,0.30347711879300854,0.01087994416410932,0.00920152112693843,0.01097890908519427,rate,1,5
ds-2681-H/Medium/medium,moirai_small,0.043137033780415855,6.975460176666578e-05,0.007043000062306722,0.020064814432166275,0.020661441485087077,0.020606466134389243,3.48012887991826,0.20769456849040577,0.607545628226493,0.02060209820870221,0.025041196604558134,0.020653674999872845,rate,1,1
