dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,dataset_size
ds-0-T/Short/long,moirai_2_small,0.2597662265102068,0.2597662265102068,0.1704172602406254,0.3477737475133789,0.5765435483720568,0.4368263421235261,7.450627552288417,0.5096726660418497,1.100736689513444,0.3680490310183015,0.3172707000345948,"['Networking', 'Application Usage']",1,3.0
ds-0-T/Short/medium,moirai_2_small,0.2409979121138652,0.2409979121138652,0.1188700834910074,0.2466911039710639,0.4900937795639038,0.2616513550281524,6.499215406489765,0.490915381826507,1.0621102117769727,0.2571790052306797,0.2286276513682252,"['Networking', 'Application Usage']",1,4.0
ds-0-T/Short/short,moirai_2_small,0.45369690808778,0.45369690808778,0.1447640528281529,0.3080730486682528,0.7147182866930961,0.2396628158787886,7.56577120710943,0.6735702695990821,1.4643757394267387,0.3147243524106499,0.2882616341028474,"['Networking', 'Application Usage']",1,20.0
ds-1-T/Short/long,moirai_2_small,0.2165617306018001,0.2165617306018001,0.0743093726748511,0.4346233117691859,0.2800330644772376,0.5126036628844246,9.701426177358524,0.465361935058939,1.4300684404837267,0.2283544928980697,0.2132687975463141,['Infrastructure'],35,3.0
ds-1-T/Short/medium,moirai_2_small,0.0375582499731154,0.0375582499731154,0.0580680538359142,0.2281068817515054,0.2290119489034016,0.4913857741582961,3.541476832312477,0.1937995097339399,0.6092482579066077,0.1825487623169264,0.164936685215565,['Infrastructure'],35,4.0
ds-1-T/Short/short,moirai_2_small,0.001483376424183,0.001483376424183,0.0052773909057889,0.0202800940965279,0.0307918634679582,0.3132037535167876,0.672836762258971,0.0385146261072737,0.1222240009727289,0.0167475033875716,0.0206608880895488,['Infrastructure'],35,20.0
ds-10-T/Short/long,moirai_2_small,7.457244698293329e-14,7.457244698293329e-14,2.078711986541748e-07,9.419158250373272e-07,2.674809770218821e-07,2.674810174438689e-07,2.2422173048897335e-05,2.730795616353104e-07,3.5138868842552757e-07,2.6748097667624173e-07,2.591792307122294e-07,['Infrastructure'],1,3.0
ds-10-T/Short/medium,moirai_2_small,7.191284604838682e-14,7.191284604838682e-14,2.0364920298258465e-07,9.391851240887857e-07,2.620482518977951e-07,2.620483125307753e-07,2.8372553529179753e-05,2.681657063242554e-07,3.450657492296495e-07,2.620482901055065e-07,2.6343664893248825e-07,['Infrastructure'],1,4.0
ds-10-T/Short/short,moirai_2_small,7.379282370341873e-14,7.379282370341873e-14,2.0985802014668786e-07,1.0168294321873971e-06,2.700375034692115e-07,2.700375413648241e-07,0.0001687395350632,2.7164834566663336e-07,3.495470454576098e-07,2.700375396280888e-07,3.9747537391148276e-07,['Infrastructure'],1,20.0
ds-100-T/Short/long,moirai_2_small,0.9852887565706984,0.9852887565706984,0.7386775452413676,0.721785692013154,3.2329396188994983,1.523716453269676,11.134198682272082,0.9926171248627028,1.3765149875284723,1.024363459492124,0.8533161292705191,['Database'],3,3.0
ds-100-T/Short/medium,moirai_2_small,0.8729574839274089,0.8729574839274089,0.7110083897908529,0.6886239765035934,4.391048092312283,1.359920819600423,8.395702823002704,0.934321938053158,1.3349338009243426,1.0158694702709616,0.8387095799361144,['Database'],3,4.0
ds-100-T/Short/short,moirai_2_small,0.7149568306075202,0.7149568306075202,0.6005134993129306,0.5887677365740506,3.982769701215956,1.1882693396674262,4.1538293512392075,0.8455511992821725,1.15317706618734,0.818990495113096,0.644520378424359,['Database'],3,20.0
ds-1000-5T/Short/long,moirai_2_small,1167838239.8229034,1167838239.8229034,2230.8386547467007,0.4101427160978121,11.341754036542769,0.3252835212213155,17.0161942593513,34173.64832473851,4.620990779490906,0.3016559647409341,0.6303109145797319,Application Usage,87,
ds-1000-5T/Short/medium,moirai_2_small,738672828.3218391,738672828.3218391,1658.83908045977,0.297064147685133,17.018724783243197,0.2847536958111,13.37762096222205,27178.536169592346,3.684002266544726,0.2248526886846836,0.4988654746878987,Application Usage,87,
ds-1000-5T/Short/short,moirai_2_small,0.1290619807681818,0.1290619807681818,0.0436687168947124,0.1855445272816465,0.5486407203235846,0.2030068941956735,4.012582278599379,0.3592519739238489,1.6605878746483709,0.2018520343389491,0.1814760091332958,['Application Usage'],87,20.0
ds-1001-T/Short/long,moirai_2_small,3.1676102249710647,3.1676102249710647,0.5778936647901348,0.8615811532481996,0.995677487574891,1.2890750793590005,18.44004826445298,1.7797781392553018,2.8135673571227304,0.9135648513032522,0.8017804840134658,['Application Usage'],17,3.0
ds-1001-T/Short/medium,moirai_2_small,3.4930081685384113,3.4930081685384113,0.5892547009037991,0.8817462510560863,1.002516144397212,1.3011419558057598,16.20511500474249,1.8689591136615085,2.90830543284644,0.9169449644146688,0.7904587937530718,['Application Usage'],17,4.0
ds-1001-T/Short/short,moirai_2_small,0.7503449795292872,0.7503449795292872,0.5478006549910003,0.8199006524007034,0.9399713815427294,1.1020335739734126,11.262406806148164,0.8662245549101498,1.3900069037728358,0.8790407614429191,0.6906832241999086,['Application Usage'],17,20.0
ds-1002-5T/Short/long,moirai_2_small,0.3423086237024378,0.3423086237024378,0.472843184294524,0.5458829511432621,2.2025388647008826,1.7146111382378473,7.888773125427785,0.5850714688843046,1.4555150619555572,1.1763184726750051,0.9840548121815011,['Application Usage'],1,3.0
ds-1002-5T/Short/medium,moirai_2_small,0.2409599582354227,0.2409599582354227,0.3736220439275106,0.4332451666106603,2.0196654637654623,1.3202455043792725,4.876825532503637,0.49087672407176,1.2421538569386488,0.9454432042575592,0.7771242322666102,['Application Usage'],1,4.0
ds-1002-5T/Short/short,moirai_2_small,0.1756306352714697,0.1756306352714697,0.2901585201422373,0.3426626713702163,2.1591405312220258,1.2840935111045837,3.0701408800746117,0.4190830887443083,1.345818591670193,0.931797873564844,0.7457975520888318,['Application Usage'],1,20.0
ds-1003-10S/Short/long,moirai_2_small,1.1595692274305556,1.1595692274305556,0.8503769259982639,0.8019865087087198,3.9237457953559023,1.4248908148871529,7.229519953268518,1.076832961712519,1.2815213566118158,1.0120197194777338,0.7834641023763773,['Application Usage'],1,2.0
ds-1003-10S/Short/medium,moirai_2_small,1.5064646402994792,1.5064646402994792,0.981283196343316,0.9229147940212596,6.359839647081163,1.435657450358073,5.174076083362063,1.227381212296929,1.460686375871298,1.1678091381957418,0.8182705309490328,['Application Usage'],1,3.0
ds-1003-10S/Short/short,moirai_2_small,1.084953362147013,1.084953362147013,0.8141460339228312,0.7652701818795117,3.6423083686828615,1.4004007371266682,4.041053890759616,1.0416109456735818,1.2530807171258336,0.9794354603036978,0.7362988709408033,['Application Usage'],1,20.0
ds-1004-5T/Short/long,moirai_2_small,0.1981913690213803,0.1981913690213803,0.2531620449490017,0.4157211476764006,4.218879318237304,1.0291566071686922,8.383634322687852,0.4451868922389566,1.364929357196842,0.7761870650347088,0.6776385671704558,['Application Usage'],1,3.0
