dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates
ds-0-T/Short/short,naive,0.4624046325683594,0.4624046325683594,0.1568729082743326,0.3334656369573589,0.7734915415445963,0.2651936531066894,10.215002256669614,0.6800034062917327,1.4783617349975675,0.3410496222588942,0.4763271252065518,0.2470033168792724,Application Usage,1
ds-0-T/Short/medium,naive,0.2532334645589192,0.2532334645589192,0.1138407071431477,0.2349976133075628,0.4791341463724772,0.2278173764546712,6.563922525581073,0.5032230763378397,1.0887382794803748,0.2462977980498071,0.3475602733202739,0.1840673446655273,Application Usage,1
ds-0-T/Short/long,naive,0.3260176482024016,0.3260176482024016,0.1968537789803964,0.3973263924162943,0.6297605726453993,0.4148336622450086,7.527936581740947,0.5709795514748331,1.2331407649369066,0.425143805878145,0.4588678360978854,0.2755978619610821,Application Usage,1
ds-1-T/Short/short,naive,0.4323038736979167,0.4323038736979167,0.0557584308442615,0.3168724655000823,0.5852720811631944,0.0703761397467719,26.00509189357108,0.657498192923689,2.0865335680761885,0.1769462470192817,0.3187188554785085,0.0467643774123418,Infrastructure,35
ds-1-T/Short/medium,naive,0.4350918724423363,0.4350918724423363,0.0756842767624628,0.3233300497520268,0.5046521335177951,0.1043414919916585,46.749325578289785,0.6596149425553793,2.0736339159650066,0.2379289386500651,0.5485477136198686,0.059938488914853,Infrastructure,35
ds-1-T/Short/long,naive,0.7782297350363757,0.7782297350363757,0.0916550021701388,0.6345049649940108,0.6834112774884259,0.1110140953825562,45.79451697351959,0.8821733021557475,2.710939600448066,0.2816580079617002,0.4508875390996562,0.0630772504856977,Infrastructure,35
ds-2-5T/Short/short,naive,84.15734409430088,84.15734409430088,1.2698479285606972,1.149349714527906,2.1891500060811584,0.7177985669929029,11.887818026552209,9.173731198062264,6.667837074887903,0.9229765855048278,0.7906808786775491,0.4981518420544299,Database,91
ds-2-5T/Short/medium,naive,39.16796302655678,39.16796302655678,0.9607410249255952,1.2403296049458508,3.072778946314102,0.820599834735577,15.764616865380775,6.25843135510463,5.427071323204401,0.8331177206484728,0.7386717229522136,0.5367222377232143,Database,91
ds-2-5T/Short/long,naive,25.969159544159545,25.969159544159545,0.9118902943121692,1.3494095410661588,3.759673254985755,0.9010834795991046,18.52900099234774,5.095994460766176,4.56117696894778,0.8161886832189247,0.7285356558969731,0.5788884834783272,Database,91
ds-3-10S/Short/short,naive,11.10313262014678,11.10313262014678,0.8617056798453283,1.5542022541256573,2.10083678582702,0.5586481514362374,22.58929355576068,3.332136344771441,1.5473428167360477,0.400149920618203,0.428616466788975,0.3817638851897885,Application Usage,33
ds-3-10S/Short/medium,naive,14.027685185185184,14.027685185185184,1.043894938973064,2.09895302129067,4.217485269360269,0.7113563368055555,39.72692819161803,3.745355148071433,2.093665245985912,0.583540536953855,0.5861415483584395,0.4657377156986532,Application Usage,33
ds-3-10S/Short/long,naive,9.254693813131311,9.254693813131311,0.9635531749789562,2.0815430153555905,3.0544276094276093,0.7217102009680134,37.20108628681065,3.042152825406921,1.7005729474845634,0.5386292395132691,0.5386212877162488,0.4967754037773569,Application Usage,33
ds-4-5T/Short/short,naive,1.097882801999328,1.097882801999328,0.1385309937179729,1.658124346738418,0.708506528608981,0.1024093288163518,155.03753287795672,1.0477990274853894,7.339653600322955,0.9703859997260924,2.445201422911377,0.0577729604577505,Application Usage,31
ds-4-5T/Short/medium,naive,1.2064920404905914,1.2064920404905914,0.1459231633012012,1.2912784988371324,0.8724145173709636,0.1025875012907657,139.93469937874212,1.0984043155826508,7.395706246330557,0.9825205846342124,3.119747237489056,0.0574105908793787,Application Usage,31
ds-4-5T/Short/long,naive,1.1494589820415173,1.1494589820415173,0.1434916542992085,1.2208680292149456,0.8862234378492067,0.1026759814138225,159.6117146202749,1.0721282488776784,7.353425753736446,0.98416885039136,3.676842975024461,0.0574509815503192,Application Usage,31
ds-5-T/Short/short,naive,1.5866984049479167,1.5866984049479167,0.6143170273094847,0.9614215659384544,3.972647683662281,0.8594840601870888,10.733681249531337,1.2596421733762,2.7494423295934496,1.3408801915131443,1.198838790705567,0.5505397863555372,Networking,19
ds-5-T/Short/medium,naive,1.359711121676261,1.359711121676261,0.5591516327439693,0.8668691590404844,3.703253495065789,0.8685303805167215,12.862775860247869,1.1660665168318065,2.683823959054676,1.286945922073211,1.2146119404266236,0.5488264117324562,Networking,19
ds-5-T/Short/long,naive,1.5625938489887914,1.5625938489887914,0.5907601577729045,0.9347716752611782,3.535683174951267,0.8698698107029728,15.305763075580916,1.250037539031845,2.6467771474194417,1.2508508235762623,1.1719146280551476,0.5425375776681286,Networking,19
ds-6-5T/Short/short,naive,1.3934334132982338,1.3934334132982338,0.7343766806782156,1.0284173306332107,3.062102298460145,0.8641634291496829,10.370243987814364,1.180437805773025,1.0939185568841832,0.6805511267159283,0.5795412059715651,0.5684651692708333,Infrastructure,23
ds-6-5T/Short/medium,naive,1.547204943670743,1.547204943670743,0.7758956245754076,1.0944455666056685,3.703685108129529,0.8958193571671196,10.776208518862934,1.243866931657379,1.2096571083783278,0.754556322497213,0.6533617279741408,0.6055066537165987,Infrastructure,23
ds-6-5T/Short/long,naive,1.8706065695450889,1.8706065695450889,0.890816852858293,1.243421025036618,13.53419635668277,0.9517964189563204,11.566046965366896,1.3677011989265375,1.3151515163278702,0.856589974276927,0.730163791835402,0.6472995923913043,Infrastructure,23
ds-7-10S/Short/short,naive,4615.081287878788,4615.081287878788,18.43398407907197,20.911308828858672,1.7494423606178977,0.7026628251509233,551.8006010635797,67.93438958199881,2.7023837511498754,0.7332913322803993,0.6432531242302137,0.4404866397742069,Infrastructure,88
ds-7-10S/Short/medium,naive,3665.0581818181818,3665.0581818181818,14.779794823232324,43.95938583415941,1.7518854561237374,0.720173463147096,1542.8872505726715,60.53972399852994,3.5113357912278205,0.8572358630356409,0.7715901947485662,0.4323915916982323,Infrastructure,88
