dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-0-T/Short/short,timer,0.4505472501118978,0.4505472501118978,0.173826789855957,0.370155240469348,0.6747440338134766,0.324858570098877,14.80620964946528,0.6712281654637995,1.459283918422868,0.3779082167277586,0.3779081581789606,0.27742706934611,Application Usage,1,20
ds-0-T/Short/medium,timer,0.2280577818552653,0.2280577818552653,0.1097007989883422,0.2287640153940933,0.4281626065572103,0.2089028040568034,9.150560622361962,0.4775539570093261,1.0332023668253278,0.2373409820896349,0.2373409881512594,0.1943007151285807,Application Usage,1,4
ds-0-T/Short/long,timer,0.2027779897054036,0.2027779897054036,0.1073992976435908,0.2208995101961808,0.4058573970088252,0.2092367384168836,8.835980371858854,0.4503087715172819,0.9725288787178138,0.2319495535484891,0.2319495532654073,0.1922132421422887,Application Usage,1,3
ds-1-T/Short/short,timer,0.4322762770879836,0.4322762770879836,0.0557577332996186,0.3168724827645274,0.5852278984917535,0.0703732935587565,26.005093153341523,0.6574772065159245,2.0864056774580644,0.1769388355453191,0.3187014272751176,0.0467619214739118,Infrastructure,35,700
ds-1-T/Short/medium,timer,0.4350648716517857,0.4350648716517857,0.0756832086472284,0.3233300607683939,0.5046151733398437,0.1043394491512091,46.749326977743216,0.6595944751525635,2.073508567706332,0.2379185809966591,0.5485166335404918,0.0599361092703683,Infrastructure,35,140
ds-1-T/Short/long,timer,0.778179615162037,0.778179615162037,0.0916534456121858,0.6345049844348075,0.6833614245756173,0.1110121065182676,45.79451809286428,0.8821448946528212,2.710776763850493,0.2816453761715978,0.4508635080811118,0.0630748930431547,Infrastructure,35,105
ds-2-5T/Short/short,timer,84.15391433212783,84.15391433212783,1.2698365431565506,1.1493497197976297,2.14252449007698,0.7177863823188531,11.887818503437428,9.173544262286406,6.667623624102053,0.9229575714488838,0.7906641865676579,0.4981436537298964,Database,91,1820
ds-2-5T/Short/medium,timer,39.16642628205128,39.16642628205128,0.9607377160599816,1.2403296067271177,2.7144715473328755,0.8205873147035256,15.764617730674702,6.258308579964021,5.426837761510717,0.8330953403470308,0.7386514023984962,0.5367159777071886,Database,91,364
ds-2-5T/Short/long,timer,25.96817511192512,25.96817511192512,0.9118912482193732,1.3494095425427135,3.56934333028083,0.9010741790038664,18.52900133803245,5.095897871025784,4.56097109590987,0.8161681672212401,0.7285159367711626,0.5788820048585673,Database,91,273
ds-3-10S/Short/short,timer,1.1692515471487337,1.1692515471487337,0.3350914540916982,0.6152181292297794,0.8707870945785985,0.3458181115352746,24.608725164280823,1.0813193548386777,0.5021318347109989,0.1556062840141649,0.1556062822893044,0.2256263655845565,Application Usage,33,660
ds-3-10S/Short/medium,timer,8.267854587542088,8.267854587542088,0.8109943839436027,1.5877483371848484,2.065803740530303,0.6285046427819865,63.50993344959236,2.875387728210248,1.6073507363882609,0.4533483980088748,0.4533483672134122,0.3875081873421717,Application Usage,33,99
ds-3-10S/Short/long,timer,7.554751157407407,7.554751157407407,0.7299591619318182,1.5589691333017492,1.68647359006734,0.623476167929293,62.35876531237066,2.748590758444663,1.5364708335755124,0.408049455366763,0.4080494422524708,0.4079773976746633,Application Usage,33,66
ds-4-5T/Short/short,timer,1.097811036468834,1.097811036468834,0.1385264447940293,1.6581243506098642,0.7084264344897098,0.1024085528342618,155.03753180030162,1.0477647810786703,7.339395785296652,0.9703517654284376,2.4451150724048083,0.0577725420715988,Application Usage,31,620
ds-4-5T/Short/medium,timer,1.2064126291582662,1.2064126291582662,0.1459183559622816,1.291278492146987,0.8722935738883302,0.1025867910188519,139.93469709982344,1.098368166489846,7.395456313590653,0.9824873478614238,3.119640695641181,0.0574102094096522,Application Usage,31,124
ds-4-5T/Short/long,timer,1.1493829105062725,1.1493829105062725,0.1434868998282557,1.2208680309973672,0.886119798318221,0.1026752565214745,159.6117127877836,1.07209277140846,7.353170655235869,0.9841346657358614,3.676714226659517,0.0574505768369175,Application Usage,31,93
ds-5-T/Short/short,timer,1.5866133840460526,1.5866133840460526,0.6143008048074288,0.961421575663062,3.9991502192982455,0.8594777960526315,10.733681292461323,1.2596084248868982,2.74941011403028,1.340864996156357,1.1988246978230714,0.550536681058114,Networking,19,380
ds-5-T/Short/medium,timer,1.3596401281524122,1.3596401281524122,0.5591368558114035,0.8668691676841963,10.199612801535087,0.8685233132881031,12.862775656704406,1.1660360749789915,2.683795068095934,1.2869316552185992,1.2145979933958662,0.5488227174993147,Networking,19,76
ds-5-T/Short/long,timer,1.562511992872807,1.562511992872807,0.5907445955927144,0.9347716790370532,9.306343658625732,0.8698630528143275,15.305762786251412,1.2500047971399175,2.646751827339303,1.250838669942176,1.1719028255848023,0.5425340559515107,Networking,19,57
ds-6-5T/Short/short,timer,0.4863199869791667,0.4863199869791667,0.317510057532269,0.4471987924084346,1.272325244848279,0.4806200994961503,17.88795168931629,0.6973664653388251,0.646253545635385,0.2942384107263153,0.2942384095338883,0.3199367799620697,Infrastructure,23,460
ds-6-5T/Short/medium,timer,0.9746681102807973,0.9746681102807973,0.6134260536967844,0.8732682737048595,2.6497825733129527,0.891618457738904,34.93073094555165,0.9872528097102572,0.9601005932694412,0.5965551197104847,0.596555160960635,0.5509987651437953,Infrastructure,23,92
ds-6-5T/Short/long,timer,1.3143542106984702,1.3143542106984702,0.7527725883152174,1.0648585379495483,10.737422000805154,0.9316397600895732,42.59434151990007,1.1464528820228377,1.1024039807628891,0.7238496330556987,0.7238496977839671,0.6076543000201289,Infrastructure,23,69
ds-7-10S/Short/short,timer,4615.1868939393935,4615.1868939393935,18.43426343513257,20.911308700909256,2.270656608812737,0.7026558523467092,551.8005890338924,67.93516684265516,2.702374587112054,0.7332915683361882,0.6432533873603377,0.4404848965731534,Infrastructure,88,1760
ds-7-10S/Short/medium,timer,3665.156767676768,3665.156767676768,14.780037878787878,43.9593855773714,2.097134035669192,0.7201632043087122,1542.8872370739523,60.54053821760067,3.511320980245732,0.8572348152254547,0.7715894526354343,0.4323862156723485,Infrastructure,88,264
ds-7-10S/Short/long,timer,4617.820606060606,4617.820606060606,16.90340119949495,96.0968336251137,1.825842013888889,0.8080770103377525,3677.578948585394,67.95454808959151,3.941329849967045,0.9803888273335828,0.9654842878179332,0.4579963699494949,Infrastructure,88,176
ds-8-5T/Short/short,timer,1.012747012867647,1.012747012867647,0.4731098848230698,0.703825307026838,2.1938026577818626,1.0552597943474264,28.15301227271686,1.0063533240704514,1.7855367638487454,0.8394219728663591,0.8394219962978098,0.640907018324908,Application Usage,17,340
ds-8-5T/Short/medium,timer,1.139248238357843,1.139248238357843,0.5625700707529105,0.8335718221115528,2.545199525122549,1.534298646216299,33.34287286762841,1.0673557225020358,1.8999707484557289,1.001415606674804,1.0014156387728432,0.8033608829273897,Application Usage,17,68
ds-8-5T/Short/long,timer,1.065262884667756,1.065262884667756,0.5637838392735567,0.8294588964429135,2.834339682053377,1.5178626897807734,33.17835586587386,1.0321157322063046,1.8613025371184664,1.0167195961474855,1.0167195603827277,0.801828767531318,Application Usage,17,51
ds-9-5T/Short/short,timer,1.2842817942301432,1.2842817942301432,0.2639026959737142,1.7327354347665684,2.7019551595052085,1.6237613677978515,69.30941734979307,1.133261573614028,7.561087772507513,1.76075099881417,1.760751094557805,0.9643189748128256,Infrastructure,1,20
ds-9-5T/Short/medium,timer,2.261990610758464,2.261990610758464,0.3994839668273925,3.604035293454965,3.724211883544922,1.8658880869547525,144.1614113874642,1.503991559403996,6.930639975941741,1.8408876917759351,1.8408876829869167,1.1016626993815104,Infrastructure,1,4
ds-9-5T/Short/long,timer,10.055736400462964,10.055736400462964,0.6761383056640625,47.32435692336546,1.6786956787109375,0.0981481481481481,1946.2689774875284,3.171078113270464,5.053580482355413,1.0775260724664883,2.4440634108802346,0.0451546951576515,Infrastructure,1,3
ds-10-T/Short/short,timer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,20
ds-10-T/Short/medium,timer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure,1,4
