dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-0-T/Short/short,timesfm_2_0_500m,0.4513721732349853,0.4513721732349853,0.1477332921024458,0.3144497516788929,0.6990280832892883,0.2488352841363371,7.401511709832207,0.6718423723128703,1.4606192351207523,0.3211796352910851,0.29177931111926,0.2237927305784491,Application Usage,1,20
ds-0-T/Short/medium,timesfm_2_0_500m,0.2299709472205889,0.2299709472205889,0.0949141757445285,0.1993470678305734,0.4290373349949045,0.1732384661051937,6.433699844226154,0.4795528617583143,1.037527057443843,0.2053496774242137,0.1986049100391881,0.1642510282018229,Application Usage,1,4
ds-0-T/Short/long,timesfm_2_0_500m,0.1997754737211657,0.1997754737211657,0.0874562348273688,0.1817636414321957,0.3571261326870664,0.1641999611598507,5.953803801539599,0.4469624969962981,0.96530195174322,0.1888786525453649,0.1833433057170806,0.1520373755925761,Application Usage,1,3
ds-1-T/Short/short,timesfm_2_0_500m,0.0020432130428814,0.0020432130428814,0.004970510813401,0.0358376160974085,0.0456529006701054,0.324924824523756,0.9714316687359744,0.0452019141506357,0.1434457278850677,0.0157736360281742,0.0145025369494553,0.2625896192320617,Infrastructure,35,700
ds-1-T/Short/medium,timesfm_2_0_500m,0.0233597368500549,0.0233597368500549,0.031513650856584,0.1972924125133659,0.2989684063702484,0.4863670786505301,3.50125824258008,0.152838924525315,0.4804802880109111,0.0990695798656894,0.0919660156198816,0.3752173049516611,Infrastructure,35,140
ds-1-T/Short/long,timesfm_2_0_500m,0.2030973042961865,0.2030973042961865,0.0498532658317901,0.4211956833208012,0.3478137470705029,0.5513811626209099,10.859285789932382,0.4506631827609024,1.3848987105198067,0.1532002750761141,0.145036443160455,0.4183843354972485,Infrastructure,35,105
ds-2-5T/Short/short,timesfm_2_0_500m,15.467919152189896,15.467919152189896,0.3516041948867495,0.4273262367539687,1.3345734082433067,0.3150405316448783,7.813511286315773,3.9329275549124847,2.8586100461536224,0.255560080815011,0.2336767983668874,0.2222614591742108,Database,91,1820
ds-2-5T/Short/medium,timesfm_2_0_500m,24.90369513116896,24.90369513116896,0.8494015183304515,1.164933402983675,3.1869990752849504,0.8610776278348143,27.678608783068395,4.990360220582173,4.327448734177051,0.7365683763963572,0.6796347900535995,0.5341931451383082,Database,91,364
ds-2-5T/Short/long,timesfm_2_0_500m,27.40749797114411,27.40749797114411,0.9084158281537474,1.3606061922078043,2.8282967646541315,0.9840365821358568,38.82098533324751,5.235217089208824,4.685788377240698,0.8130788574247264,0.7712498105425422,0.5901378509256219,Database,91,273
ds-3-10S/Short/short,timesfm_2_0_500m,0.7617579258978902,0.7617579258978902,0.2250676985876439,0.4361602549290101,0.7088587609363669,0.2244652942441327,6.3597302746350985,0.8727874460015395,0.4052959652020173,0.1045145992334942,0.0887137633406086,0.1695563281667797,Application Usage,33,660
