dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1620-D/Long/short,toto_2.0_1b,1.0183182710981638,1.0183182710981638,0.5485595013462218,1.3780815489958935,2.884790176995057,0.8172942794661268,15.564294115535034,1.009117570503142,1.06020410560392,0.5763303033216708,0.4817263759209067,Database,59
ds-1621-D/Long/short,toto_2.0_1b,1.07014306640625,1.07014306640625,0.4277067464192708,0.5347315960074599,0.8881055501302083,0.8306453374592535,7.0586623090955305,1.0344771947250695,1.9149400960601748,0.7917359631029619,0.6433335038842304,Application Usage,100
ds-1622-D/Long/short,toto_2.0_1b,0.5587508913070437,0.5587508913070437,0.2635181003146701,0.7289986877083925,0.5981055850074405,0.4813509401011302,8.128034843158922,0.7474964155814018,1.8136711292096377,0.6393812205683274,0.5319828558756582,"Networking, Application Usage",21
ds-1625-D/Long/short,toto_2.0_1b,1.7435752868652343,1.7435752868652343,0.8404815673828125,1.0285519482772003,2.6254811604817707,1.0703797856558133,10.561290535574832,1.3204451093723033,1.322687228645817,0.8419087072978958,0.6564737775055038,Application Usage,8
ds-1626-D/Long/short,toto_2.0_1b,0.0276567578315734,0.0276567578315734,0.0311061481634775,0.1656686752795105,0.0449816942214965,0.0742444812455862,8.590179122494533,0.1663032105269573,1.3671799273636134,0.2557238747944162,0.2821582684830206,Infrastructure,1
ds-1627-H/Medium/short,toto_2.0_1b,1.8350952283678149e-07,1.8350952283678149e-07,0.0003532295425732,0.00106485368199,0.0008984459564089,0.0008987191314157,0.025624502314242,0.0004283801148942,0.0010897199636961,0.0008985507751787,0.0010217168681452,Infrastructure,1
ds-1629-D/Long/short,toto_2.0_1b,1.0201598737224842,1.0201598737224842,0.6563083480738994,2.6847228396415477,1.7788380748820756,0.7887388257643567,22.97074731167826,1.010029640021759,0.8518859826582644,0.5535479949021213,0.4470747035085424,Infrastructure,53
ds-1630-D/Long/short,toto_2.0_1b,0.3151337305704753,0.3151337305704753,0.4009870211283365,1.4801125156837125,1.084441502888997,0.958367193381196,17.036220266461914,0.5613677320353169,1.1285311483790972,0.8061139207242599,0.7672629193502775,Infrastructure,1
ds-1633-D/Long/short,toto_2.0_1b,1.3888187408447266,1.3888187408447266,0.9205506642659506,3.1389903128654297,1.0248513539632162,1.9278012175123285,26.341159170599617,1.1784815403071558,1.2769296374488224,0.9974517086351812,0.8469594684405171,Infrastructure,1
ds-1640-D/Long/short,toto_2.0_1b,0.368935489654541,0.368935489654541,0.4836150487263997,1.5481224977097294,0.417136001586914,0.3309544707145156,23.526350048162225,0.6074006006372903,0.3943936936216378,0.3140180058401202,0.3279562311845159,Infrastructure,2
ds-1641-30T/Short/short,toto_2.0_1b,1.0522249353286277e-21,1.0522249353286277e-21,1.7145398681053496e-11,,0.0,0.8666666666666667,,3.2438016821757576e-11,5.7243559097219255e-11,3.025658590774146e-11,3.3456361456909076e-11,Application Usage,30
ds-1642-30T/Short/short,toto_2.0_1b,1.0522249353286277e-21,1.0522249353286277e-21,1.7145398681053496e-11,,0.0,0.8666666666666667,,3.2438016821757576e-11,5.7243559097219255e-11,3.025658590774146e-11,3.3456361456909076e-11,Application Usage,30
ds-1643-30T/Short/short,toto_2.0_1b,6.475230150318099e-22,6.475230150318099e-22,1.0551014383174284e-11,,0.0,0.5333333333333333,,2.5446473528404872e-11,3.469973662964301e-11,1.4387746886146747e-11,1.5909318734753968e-11,Application Usage,30
ds-1646-D/Long/short,toto_2.0_1b,0.9247301101684572,0.9247301101684572,0.8456865310668945,2.2206200292184195,0.7910012563069662,0.9050345076439332,23.17881376957758,0.9616288838052116,0.765998615944623,0.6736431519786468,0.5520540054273595,Infrastructure,1
ds-1647-D/Long/short,toto_2.0_1b,0.0001539479785909,0.0001539479785909,0.0087905953327814,0.0485091455120775,0.1067723035812377,0.0968771976695089,0.473718253755367,0.0124075774666501,0.1302413260262678,0.0922741603491177,0.0774654268540699,Infrastructure,1
ds-1653-D/Long/short,toto_2.0_1b,0.0006958131988843,0.0006958131988843,0.0084258218606313,0.0361514007690247,0.2923795700073242,0.1012651285540539,0.5622159506512902,0.0263782713399556,0.2214891350480144,0.0707486844732341,0.0637373817281928,"Database, Application Usage",1
ds-1654-D/Long/short,toto_2.0_1b,1.0998497009277344,1.0998497009277344,0.4923961957295735,1.1272178036224014,1.103467051188151,0.8114820448095111,13.76841043188847,1.0487371934511212,1.6747492319961714,0.7863172544899105,0.6652522249180259,"Database, Application Usage",1
ds-1656-D/Long/short,toto_2.0_1b,3.9490229288736978,3.9490229288736978,0.8340499877929688,3.469638029546042,4.421807352701823,1.035602273601883,60.63252270933201,1.987214867313975,2.2361836217007007,0.9385441670448348,0.8345749370727356,"Database, Application Usage",1
ds-1665-D/Long/short,toto_2.0_1b,0.2924521764119466,0.2924521764119466,0.4811766624450683,1.2209278491817697,2.4885269165039063,1.6352511861820778,13.059105747184098,0.5407884765894578,1.6136748393364917,1.4357973719417292,0.9628397125376692,Database,1
ds-1666-D/Long/short,toto_2.0_1b,0.2925300598144531,0.2925300598144531,0.4812406857808431,1.2211087569577892,2.4876859029134115,1.6352418325992384,13.060214740556908,0.5408604809139351,1.6136209173459144,1.4357492629923327,0.9628004600145784,Database,1
ds-1667-D/Long/short,toto_2.0_1b,2.7698565165201825,2.7698565165201825,1.273357391357422,3.293710700674887,20.37790730794271,1.184637007340508,23.380619800870207,1.6642885917172483,1.6276535952718505,1.2453277312742708,1.009623289279204,Application Usage,1
ds-1668-D/Long/short,toto_2.0_1b,0.2813938458760579,0.2813938458760579,0.4514973322550455,1.440021035652825,1.56100222269694,0.6347150038498839,9.430625084434984,0.5304656877462085,0.8256706038354923,0.7027562452474606,0.4666774358460681,Application Usage,4
ds-1671-D/Long/short,toto_2.0_1b,0.969178581237793,0.969178581237793,0.739801025390625,7.716947586191462,0.4868366877237955,0.8164741782522442,35.98542069304423,0.9844686796631944,0.984814114454088,0.740060610096353,0.6439783146797025,Database,1
ds-1674-D/Long/short,toto_2.0_1b,3.620072428385417,3.620072428385417,1.0230149586995445,8.920923638296921,0.4118197758992513,0.6639883404743486,252.04882330187783,1.902648792705952,1.4664798023097925,0.7884959011589502,0.7447882124581313,Database,2
ds-1679-D/Long/short,toto_2.0_1b,0.2303168591157889,0.2303168591157889,0.2524496949749228,2.106434247527653,1.213411232277199,0.5482745572942733,23.80308621021815,0.4799133870979106,0.8231419023325001,0.4329988030163497,0.3812229643608868,Database,54
ds-1680-D/Long/short,toto_2.0_1b,3.648570760091146,3.648570760091146,1.0846880594889323,3.893391718886568,0.6079772313435873,0.8155051205535561,42.88904893956485,1.9101232316505512,1.4175199457910623,0.80495694403881,0.6920656098462135,Database,1
ds-1681-D/Long/short,toto_2.0_1b,3.225194634331597,3.225194634331597,0.8984839545355903,4.88159920932159,0.5628913031684027,0.3745320133968884,40.15179052080003,1.7958826894682172,0.7533871412823817,0.3769211997895575,0.2979176268759028,Database,3
ds-1684-D/Long/short,toto_2.0_1b,5.301677449544271,5.301677449544271,0.7654333114624023,10.783704326467872,0.410521380106608,0.5814171461716291,406.99394898978335,2.302537176582448,2.7764545109828207,0.9229778316199136,0.9152297202272116,Application Usage,1
ds-1689-D/Long/short,toto_2.0_1b,0.1563776016235351,0.1563776016235351,0.3098725954691569,0.6610659905521573,0.787342898050944,1.1099764732612651,3.874060661581565,0.3954460792870946,1.0407305829210527,0.8155192422068345,0.577647733206889,Application Usage,1
ds-1691-D/Long/short,toto_2.0_1b,6.874041748046875,6.874041748046875,2.480271657307943,9.986427062013032,0.9052059809366862,1.6149851204971184,23.664020033935625,2.6218393825798856,0.9561445560191822,0.904516980841944,0.6685089224345844,Application Usage,1
ds-1700-D/Long/short,toto_2.0_1b,1.707376820074084e-07,1.707376820074084e-07,0.000401005744934,0.0015967670032936,0.0037546674410502,0.0037622335998928,0.0170832015546432,0.0004132041650412,0.0038326694222493,0.0037195231480831,0.0029269234943638,"Infrastructure, Database",5
ds-1705-D/Long/short,toto_2.0_1b,1.261499532063802,1.261499532063802,0.5656265258789063,1.1451247773534428,4.121888732910156,1.8949611157788473,15.834840450524812,1.1231649620887405,2.5605877701316095,1.2895134851198515,1.1319587267103268,Database,1
ds-1708-D/Long/short,toto_2.0_1b,0.0667583624521891,0.0667583624521891,0.1589241027832031,0.5428849836029935,0.3035051345825195,0.3049216787002663,7.025643868287909,0.2583763968558063,0.4644802763081668,0.2856960313366598,0.2635490480719873,Database,1
ds-1709-D/Long/short,toto_2.0_1b,1.498237101236979,1.498237101236979,0.715847905476888,1.08266474737531,0.6424208958943685,0.6175213059412215,7.176627605459888,1.2240249594011468,0.908319763005538,0.5312136773492728,0.4330421834700801,Database,1
