dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1620-D/Long/short,toto_2.0_4m,1.097010656669315,1.097010656669315,0.5789549401924435,1.461724663866614,3.019822011829096,0.859750527970937,16.272528003298646,1.0473827651194738,1.1004064741086528,0.6082645099972416,0.5046464187331011,Database,59
ds-1621-D/Long/short,toto_2.0_4m,1.0716593424479166,1.0716593424479166,0.4332725016276041,0.5422285172977318,0.9554022623697916,0.8582432234177456,7.046464164058464,1.0352098060045205,1.916296246510856,0.8020388367357884,0.660642369359596,Application Usage,100
ds-1622-D/Long/short,toto_2.0_4m,0.5476047092013889,0.5476047092013889,0.2753115941607763,0.7841242660997283,0.6466685461619543,0.563947440258645,8.329889252366328,0.7400031818859896,1.7954900900307147,0.6679960993227058,0.5508890896109337,"Networking, Application Usage",21
ds-1625-D/Long/short,toto_2.0_4m,1.6122918446858725,1.6122918446858725,0.8093732198079427,1.001817805680445,2.7459950764973957,1.0212350967286978,14.274090694034673,1.2697605461999015,1.2719166029516549,0.8107475376669105,0.6944988611993922,Application Usage,8
ds-1626-D/Long/short,toto_2.0_4m,0.0280035436153411,0.0280035436153411,0.0380541721979777,0.2026732475092935,0.1148440996805826,0.1467207984512567,7.1364267678988424,0.1673425935479105,1.3757247028889148,0.3128436319218273,0.3456999512111335,Infrastructure,1
ds-1627-H/Medium/short,toto_2.0_4m,1.884576401304609e-06,1.884576401304609e-06,0.001117260971417,0.0033926126111221,0.0028420534605781,0.0028408650675675,0.5002822729842876,0.0013727987475608,0.0034921466924847,0.0028421057441293,0.0053726520734121,Infrastructure,1
ds-1629-D/Long/short,toto_2.0_4m,1.1007175277613994,1.1007175277613994,0.6857366597877359,2.8252589611191814,1.6717862495086475,0.8267854904968099,23.32079086342862,1.0491508603444022,0.8848818650529904,0.5783686192174385,0.4669395408208684,Infrastructure,53
ds-1630-D/Long/short,toto_2.0_4m,0.3323312441507975,0.3323312441507975,0.4318553288777669,1.594052725678058,1.4533707936604818,0.9860280402954112,14.32604007594504,0.576481781282633,1.1589152876524582,0.8681692274421609,0.7419001164938017,Infrastructure,1
ds-1633-D/Long/short,toto_2.0_4m,1.435124969482422,1.435124969482422,0.9354999542236327,3.1899663747395306,0.9944448471069336,1.8812095375790665,27.44433458237152,1.1979670151896595,1.2980428916884674,1.0136498337248667,0.855714181384757,Infrastructure,1
ds-1640-D/Long/short,toto_2.0_4m,0.3434836069742839,0.3434836069742839,0.474868901570638,1.5158281631338215,0.4242469787597656,0.3188711213336154,22.38299726368085,0.586074745211124,0.3805465178329704,0.3083390103335302,0.3070387166582827,Infrastructure,2
