dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates,dataset_size
ds-710-T/Short/short,visonts,0.09290127555819122,0.09290127555819122,0.19332945976598662,0.5344745214665394,1.8801527155644886,1.0358892274726506,21.37898085866158,0.3047971055607176,1.2994772854202303,0.8242441840328363,0.8242441840328362,0.644915751079495,Application Usage,1,20
ds-710-T/Short/medium,visonts,0.16037078727248566,0.16037078727248566,0.2139546318873512,0.5839119259265363,1.3558487753333994,1.1481195209153505,23.356477037061453,0.4004632158794184,1.581942799286993,0.845181219815724,0.8451812198157239,0.6489701192797354,Application Usage,1,4
ds-710-T/Short/long,visonts,0.1620681478371794,0.1620681478371794,0.2210283884938079,0.5994614319042312,1.336879186517943,1.1982807768496775,23.97845727616925,0.4025768843800888,1.5787708782997611,0.8667988564939296,0.8667988564939296,0.6691820306058298,Application Usage,1,3
ds-2657-D/Long/short,visonts,1.114425376084196,1.114425376084196,0.8001468131564183,1.1115061101591743,1.3965032726906201,1.4538542375372137,44.46024440636697,1.055663476721723,1.253962400708529,0.9504487375661944,0.9504487375661943,0.7493004885887662,rate,98,98
ds-2470-H/Medium/short,visonts,4.1216381002973375,4.1216381002973375,0.5381630191719675,0.9122497980306716,5.299271123159972,1.4396496768149543,36.48999192122687,2.0301817899629917,4.10189572659873,1.0873354295012196,1.0873354295012194,0.7994745354521694,rate,11,121
ds-2470-H/Medium/medium,visonts,2.5031957552944317,2.5031957552944317,0.4505064326900393,0.7618246339240052,2.9405634097187265,1.5913534850744169,30.472985356960212,1.5821490938892049,3.7507627810966806,1.0680047581512986,1.0680047581512986,0.8290423231151436,rate,11,22
ds-2470-H/Medium/long,visonts,3.1825311462683348,3.1825311462683348,0.4989879931248076,0.8491295272470385,2.9486638215471035,1.6096168979251624,33.96518108988154,1.7839650070190096,3.835645496872088,1.0728579547760233,1.0728579547760233,0.8551995444243288,rate,11,11
ds-2179-30T/Short/short,visonts,0.5520029013095731,0.5520029013095731,0.47510427472819533,1.06203120346891,6.337837782045199,0.9394784227870294,42.4812481387564,0.7429689773534108,1.4534329464391371,0.9294226635731552,0.9294226635731552,0.7365913379118992,gauge,7,140
ds-2179-30T/Short/medium,visonts,0.8621635956696589,0.8621635956696589,0.6312747343187869,1.4076057118812235,7.5439674185960985,1.1575922823100353,56.30422847524894,0.928527649383506,1.5345740095154206,1.0433052809924983,1.0433052809924983,0.8227515553095361,gauge,7,21
ds-2179-30T/Short/long,visonts,1.0513593363715783,1.0513593363715783,0.7445465978836296,1.6359337531227296,5.905332249341787,1.297267522431078,65.4373501249092,1.0253581502926568,1.6946053991269208,1.230509246271717,1.230509246271717,0.9136318750569632,gauge,7,14
ds-1078-10S/Short/short,visonts,1.5097754546436393,1.5097754546436393,0.7178228293822005,1.3695795678225648,1.3557232904366716,1.224846663321338,54.78318271290259,1.2287292031377943,1.9919318681613079,1.1636853473399325,1.1636853473399325,0.6819695167205899,Database,2,40
ds-1078-10S/Short/medium,visonts,1.3932654006812244,1.3932654006812244,0.8641345021853939,1.7680991797275252,2.1827768741408304,1.8206500547924414,70.723967189101,1.180366638244755,1.933214380105793,1.4152867353609206,1.4152867353609206,1.027069347126887,Database,2,6
ds-1078-10S/Short/long,visonts,1.281086856368432,1.281086856368432,0.7511802947831391,1.4723135354379369,1.5174378958723482,1.804128280427192,58.89254141751748,1.1318510751721853,1.8537551839950899,1.230289387106308,1.2302893871063083,0.9110226463343852,Database,2,4
